pid,diseases,modalities,disease_list,refined_general_category_final
32943286,"[""lung transplant rejection"", ""graft loss""]","[""transbronchial biopsies"", ""mucosal biopsies"", ""gene expression microarrays""]","['lung transplant rejection', 'graft loss']",Transplant and Surgery
29886760,"[""Severe Neonatal Morbidity"", ""neonatal death""]","[""Maternal age"", ""reason for admission"", ""Gestational age"", ""optimal steroid use""]","['Severe Neonatal Morbidity', 'neonatal death']",Neonatal and Pregnancy-Related Conditions
30262516,"[""Cardiovascular"",""obstructive coronary artery disease""]","[""SPECT Myocardial Perfusion Imaging"", ""MPI""]","['Cardiovascular', 'obstructive coronary artery disease']",Cardiovascular and Vascular Diseases
36332954,"[""anxiety disorders"",""mental health""]","[""Self-report questionnaires"", ""Semi-structured qualitative interviews""]","['anxiety disorders', 'mental health']",Psychiatric and Mental Health Disorders
30807586,"[""Juvenile Idiopathic Arthritis""]","[""Clinical data"", ""Joint involvement data"", ""laboratory parameters"", ""immunological markers""]",['Juvenile Idiopathic Arthritis'],Musculoskeletal and Rheumatic Disorders
38469689,"[""Coronary artery disease""]","[""Quantitative coronary plaque analysis"", ""CT angiography"", ""FFRCT"",""CT scan""]",['Coronary artery disease'],Cardiovascular and Vascular Diseases
31150083,"[""In-Hospital Cardiac Arrest""]","[""electrocardiogram"", ""neurological status"",""ECG"", ""CPC"",""Clinical data""]",['In-Hospital Cardiac Arrest'],Cardiovascular and Vascular Diseases
29550305,"[""obstructive coronary artery disease""]","[""myocardial perfusion imaging (MPI)"", ""MPI""]",['obstructive coronary artery disease'],Cardiovascular and Vascular Diseases
29581092,"[""Parkinson's disease"", ""PD""]","[""typing data"", ""keystroke metrics""]","[""Parkinson's disease"", 'PD']",Neurological Disorders
29664902,"[""ADHD"", ""Autism"",""neurodevelopmental disorders""]","[""MRI"", ""fMRI""]","['ADHD', 'Autism', 'neurodevelopmental disorders']",Neurological Disorders
