pid,diseases,modalities,disease_list,refined_general_category_final,stemmed_modalities,modality_category
32943286,"[""lung transplant rejection"", ""graft loss""]","[""transbronchial biopsies"", ""mucosal biopsies"", ""gene expression microarrays""]","['lung transplant rejection', 'graft loss']",Transplant and Surgery,"['transbronchi biopsi', 'mucos biopsi', 'gene express microarray']",Laboratory Data
29886760,"[""Severe Neonatal Morbidity"", ""neonatal death""]","[""Maternal age"", ""reason for admission"", ""Gestational age"", ""optimal steroid use""]","['Severe Neonatal Morbidity', 'neonatal death']",Neonatal and Pregnancy-Related Conditions,"['matern age', 'reason for admiss', 'gestat age', 'optim steroid use']",Clinical and Health Records
30262516,"[""Cardiovascular"",""obstructive coronary artery disease""]","[""SPECT Myocardial Perfusion Imaging"", ""MPI""]","['Cardiovascular', 'obstructive coronary artery disease']",Cardiovascular and Vascular Diseases,"['spect myocardi perfus imag', 'mpi']",Imaging Data
36332954,"[""anxiety disorders"",""mental health""]","[""Self-report questionnaires"", ""Semi-structured qualitative interviews""]","['anxiety disorders', 'mental health']",Psychiatric and Mental Health Disorders,"['self-report questionnair', 'semi-structur qualit interview']",Self-reported & Survey Data
30807586,"[""Juvenile Idiopathic Arthritis""]","[""Clinical data"", ""Joint involvement data"", ""laboratory parameters"", ""immunological markers""]",['Juvenile Idiopathic Arthritis'],Musculoskeletal and Rheumatic Disorders,"['clinic data', 'joint involv data', 'laboratori paramet', 'immunolog marker']",Clinical and Health Records
38469689,"[""Coronary artery disease""]","[""Quantitative coronary plaque analysis"", ""CT angiography"", ""FFRCT"",""CT scan""]",['Coronary artery disease'],Cardiovascular and Vascular Diseases,"['quantit coronari plaqu analysi', 'ct angiographi', 'ffrct', 'ct scan']",Imaging Data
31150083,"[""In-Hospital Cardiac Arrest""]","[""electrocardiogram"", ""neurological status"",""ECG"", ""CPC"",""Clinical data""]",['In-Hospital Cardiac Arrest'],Cardiovascular and Vascular Diseases,"['electrocardiogram', 'neurolog statu', 'ecg', 'cpc', 'clinic data']",Neurophysiological Data
29550305,"[""obstructive coronary artery disease""]","[""myocardial perfusion imaging (MPI)"", ""MPI""]",['obstructive coronary artery disease'],Cardiovascular and Vascular Diseases,"['myocardi perfus imag ( mpi )', 'mpi']",Imaging Data
29581092,"[""Parkinson's disease"", ""PD""]","[""typing data"", ""keystroke metrics""]","[""Parkinson's disease"", 'PD']",Neurological Disorders,"['type data', 'keystrok metric']",Clinical and Health Records
29664902,"[""ADHD"", ""Autism"",""neurodevelopmental disorders""]","[""MRI"", ""fMRI""]","['ADHD', 'Autism', 'neurodevelopmental disorders']",Neurological Disorders,"['mri', 'fmri']",Imaging Data
30025851,"[""pharmaco-resistant focal epilepsies"", ""epilepsy""]","[""intracranial electroencephalography (iEEG)"", ""cortico-cortical evoked potentials"",""iEEG"", ""CCEP""]","['pharmaco-resistant focal epilepsies', 'epilepsy']",Neurological Disorders,"['intracrani electroencephalographi ( ieeg )', 'cortico-cort evok potenti', 'ieeg', 'ccep']",Neurophysiological Data
33233605,"[""dementia""]","[""social interaction, robot interventions""]",['dementia'],Neurological Disorders,"['social interact , robot intervent']",Environmental and Social Data
30171211,"[""bipolar disorders""]","[""MRI"", ""structural MRI""]",['bipolar disorders'],Psychiatric and Mental Health Disorders,"['mri', 'structur mri']",Imaging Data
38563856,"[""brain metastases"", ""primary cancers"",""breast cancer"", ""lung cancer"", ""melanoma"", ""renal cancer"", ""colon cancer""]","[""spatial distribution"", ""spatial coordinates"", ""age at treatment"", ""target volume"",""sex""]","['brain metastases', 'primary cancers', 'breast cancer', 'lung cancer', 'melanoma', 'renal cancer', 'colon cancer']",Respiratory and Lung Conditions,"['spatial distribut', 'spatial coordin', 'age at treatment', 'target volum', 'sex']",Clinical and Health Records
30461117,"[""adolescent alcohol use""]","[""psychopathology"", ""personality clusters""]",['adolescent alcohol use'],Other,"['psychopatholog', 'person cluster']",Environmental and Social Data
30523141,"[""medulloblastoma""]","[""MR imaging"", ""T1-weighted images"", ""T2-weighted images"", ""MRI"", ""intensity-based histograms"", ""tumor edge-sharpness"", ""Gabor features"", ""local area integral invariant features""]",['medulloblastoma'],Cancer and Oncology,"['mr imag', 't1-weight imag', 't2-weight imag', 'mri', 'intensity-bas histogram', 'tumor edge-sharp', 'gabor featur', 'local area integr invari featur']",Imaging Data
30773443,"[""lung transplant rejection""]","[""biopsy"", ""transcriptomics"","" ""gene expression microarrays""]",['lung transplant rejection'],Transplant and Surgery,[],Other
30947300,"[""degenerative cervical myelopathy""]","[""clinical variables"", ""patient demographics"", ""comorbidities""]",['degenerative cervical myelopathy'],Musculoskeletal and Rheumatic Disorders,"['clinic variabl', 'patient demograph', 'comorbid']",Clinical and Health Records
31055684,,,[],Other,[],Other
33753312,"[""Depression""]","[""clinical variables"", ""cognitive variables"", ""environmental variables"", ""structural MRI""]
",['Depression'],Psychiatric and Mental Health Disorders,"['clinic variabl', 'cognit variabl', 'environment variabl', 'structur mri']",Clinical and Health Records
31352417,"[""Cardiovascular Disease"", ""Breast Cancer""]","[""CT Scans""]","['Cardiovascular Disease', 'Breast Cancer']",Cancer and Oncology,['ct scan'],Imaging Data
31393626,"[""Epilepsy""]","[""diffusion tensor imaging (DTI)"", ""resting-state magnetoencephalography (MEG)"", ""clinical covariates""]",['Epilepsy'],Neurological Disorders,"['diffus tensor imag ( dti )', 'resting-st magnetoencephalographi ( meg )', 'clinic covari']",Imaging Data
31417602,"[""rare genetic diseases""]","[""facial photographs"", ""clinical traits"", ""genetic information""]",['rare genetic diseases'],Rare Diseases,"['facial photograph', 'clinic trait', 'genet inform']",Imaging Data
31472262,"[""Vascular disease"", ""Dementia""]","[""FLAIR MRI"", ""clinical data""]","['Vascular disease', 'Dementia']",Neurological Disorders,"['flair mri', 'clinic data']",Imaging Data
31622838,"[""Myocardial Infarction""]","[""Cine MR"",""MRI""]",['Myocardial Infarction'],Cardiovascular and Vascular Diseases,"['cine mr', 'mri']",Imaging Data
31728792,"[""intrahepatic cholangiocarcinoma"",""ICC""]","[""clinical data""]","['intrahepatic cholangiocarcinoma', 'ICC']",Cancer and Oncology,['clinic data'],Clinical and Health Records
33772335,"[""cervical cancer""]","[""PET images""]",['cervical cancer'],Cancer and Oncology,['pet imag'],Imaging Data
31800431,"[""surgical performance""]","[""Virtual reality"", ""Simulation""]",['surgical performance'],Surgical and Trauma Conditions,"['virtual realiti', 'simul']",Digital Health & Wearable Devices
31845024,"[""lower gastrointestinal bleeding""]","[""clinical data""]",['lower gastrointestinal bleeding'],Other,['clinic data'],Clinical and Health Records
31981624,"[""asthma"", ""immune response disorders""]","[""genomics"", ""imputed HLA alleles"",""total serum IgE (tIgE)""]","['asthma', 'immune response disorders']",Respiratory and Lung Conditions,"['genom', 'imput hla allel', 'total serum ige ( tige )']",Genomic and Molecular Data
37741065,"[""epilepsy"", ""cognitive flexibility impairments""]","[""stereoelectroencephalography (sEEG)"", ""local-field potentials (LFPs)"", ""EEG""]","['epilepsy', 'cognitive flexibility impairments']",Neurological Disorders,"['stereoelectroencephalographi ( seeg )', 'local-field potenti ( lfp )', 'eeg']",Neurophysiological Data
32161279,"[""head and neck cancer""]","[""radiomics"", ""CT images""]",['head and neck cancer'],Cancer and Oncology,"['radiom', 'ct imag']",Imaging Data
32165206,"[""malignant pleural mesothelioma"", ""transitional mesothelioma""]","[""digital pathology"", ""histopathologic slides"", ""RNA sequencing""]","['malignant pleural mesothelioma', 'transitional mesothelioma']",Rare Diseases,"['digit patholog', 'histopatholog slide', 'rna sequenc']",Digital Health & Wearable Devices
38542033,"[""Acute Respiratory Distress Syndrome""]","[""Clinical Data"", ""Physiological Monitoring Data""]",['Acute Respiratory Distress Syndrome'],Respiratory and Lung Conditions,"['clinic data', 'physiolog monitor data']",Clinical and Health Records
32174330,"[""Heart failure""]","[""Cardiac imaging"",""Cardiac MRI""]",['Heart failure'],Cardiovascular and Vascular Diseases,"['cardiac imag', 'cardiac mri']",Imaging Data
32304875,"[""heart failure""]","[""electronic medical records"", ""ICD codes"", ""discharge summaries""]",['heart failure'],Cardiovascular and Vascular Diseases,"['electron medic record', 'icd code', 'discharg summari']",Clinical and Health Records
32767763,"[""epilepsy"", ""neurodevelopmental disorders""]","[""EEG"", ""MRI"", ""genomic data"", ""clinical data"", ""fMRI""]","['epilepsy', 'neurodevelopmental disorders']",Neurological Disorders,"['eeg', 'mri', 'genom data', 'clinic data', 'fmri']",Neurophysiological Data
33962603,"[""respiratory disorders"", ""COPD"", ""Asthma"", ""Interstitial lung disorders"", ""ARDS"", ""Pneumonia""]","[""Clinical data"", ""Ventilation parameters"", ""Serum creatinine"", ""Serum bilirubin"", ""pH"", ""PaCO2""]","['respiratory disorders', 'COPD', 'Asthma', 'Interstitial lung disorders', 'ARDS', 'Pneumonia']",Respiratory and Lung Conditions,"['clinic data', 'ventil paramet', 'serum creatinin', 'serum bilirubin', 'ph', 'paco2']",Clinical and Health Records
32673230,,"[""Consultation notes""]",[],Other,['consult note'],Clinical and Health Records
32719123,"[""relationship quality""]","[""self-report data"", ""longitudinal data""]",['relationship quality'],Other,"['self-report data', 'longitudin data']",Self-reported & Survey Data
32816765,"[""pediatric brain tumors"",""pediatric posterior fossa tumors"", ""diffuse midline glioma"", ""medulloblastoma"", ""ependymoma"", ""pilocytic astrocytoma""]","[""MR imaging"", ""T2-weighted MRI"", ""MRI""]","['pediatric brain tumors', 'pediatric posterior fossa tumors', 'diffuse midline glioma', 'medulloblastoma', 'ependymoma', 'pilocytic astrocytoma']",Cancer and Oncology,"['mr imag', 't2-weight mri', 'mri']",Imaging Data
37789357,"[""acute care assessment""]","[""presenting complaint"", ""clinical modifiers"", ""age"", ""sex"", ""self-reported pain""]",['acute care assessment'],Critical Care,"['present complaint', 'clinic modifi', 'age', 'sex', 'self-report pain']",Imaging Data
38607809,"[""alcohol-associated hepatitis""]","[""clinical data"", ""biomarker data""]",['alcohol-associated hepatitis'],Infectious Diseases,"['clinic data', 'biomark data']",Clinical and Health Records
38621801,"[""chronic kidney disease""]","[""Clinical Data"", ""population-based data""]",['chronic kidney disease'],Kidney and Renal Diseases,"['clinic data', 'population-bas data']",Clinical and Health Records
33033241,"[""Obsessive-Compulsive Disorder""]","[""Structural MRI"", ""MRI""]",['Obsessive-Compulsive Disorder'],Neurological Disorders,"['structur mri', 'mri']",Imaging Data
33074746,"[""Autism Spectrum Disorder""]","[""Functional MRI"",""fMRI""]",['Autism Spectrum Disorder'],Neurological Disorders,"['function mri', 'fmri']",Imaging Data
34863649,"[""heart failure""]","[""echocardiography"",""2D Videos"", ""echocardiograms""]",['heart failure'],Cardiovascular and Vascular Diseases,"['echocardiographi', '2d video', 'echocardiogram']",Imaging Data
34864143,"[""chronic obstructive pulmonary disease""]","[""EMR data"", ""clinical data""]",['chronic obstructive pulmonary disease'],Respiratory and Lung Conditions,"['emr data', 'clinic data']",Clinical and Health Records
34104876,"[""preterm birth""]","[""metabolomic markers"", ""birth weight"", ""sex"", ""clinical data""]",['preterm birth'],Neonatal and Pregnancy-Related Conditions,"['metabolom marker', 'birth weight', 'sex', 'clinic data']",Clinical and Health Records
34131749,"[""Peripheral Nerve Sheath Tumors"",""PNSTs""]","[""MRI"", ""radiomics data"", ""clinical data""]","['Peripheral Nerve Sheath Tumors', 'PNSTs']",Rare Diseases,"['mri', 'radiom data', 'clinic data']",Imaging Data
38456877,"[""coronary artery disease"", ""cardiovascular disease""]","[""CT attenuation imaging"", ""myocardial perfusion imaging"",""CT scan""]","['coronary artery disease', 'cardiovascular disease']",Cardiovascular and Vascular Diseases,"['ct attenu imag', 'myocardi perfus imag', 'ct scan']",Imaging Data
34228341,"[""coronary artery disease""]","[""SPECT imaging"", ""clinical variables"", ""myocardial perfusion imaging (MPI)""]",['coronary artery disease'],Cardiovascular and Vascular Diseases,"['spect imag', 'clinic variabl', 'myocardi perfus imag ( mpi )']",Clinical and Health Records
34773974,"[""Multiple Sclerosis"", ""Psoriasis"", ""Axial Spondyloarthritis"", ""Psoriatic arthritis"", ""Rheumatoid arthritis""]","[""Clinical trial data"", ""MRI imaging"", ""Genomic data"", ""Proteomic data"", ""Transcriptomic data""]","['Multiple Sclerosis', 'Psoriasis', 'Axial Spondyloarthritis', 'Psoriatic arthritis', 'Rheumatoid arthritis']",Neurological Disorders,"['clinic trial data', 'mri imag', 'genom data', 'proteom data', 'transcriptom data']",Imaging Data
37813086,"[""Aortic arch"",""embolic stroke of undetermined source"", ""aortic arch atherosclerosis""]","[""computed tomography angiography"", ""CT""]","['Aortic arch', 'embolic stroke of undetermined source', 'aortic arch atherosclerosis']",Cardiovascular and Vascular Diseases,"['comput tomographi angiographi', 'ct']",Imaging Data
38598191,"[""frailty"", ""postoperative complications""]","[""CT imaging"", ""electronic health records"",""CT""]","['frailty', 'postoperative complications']",Transplant and Surgery,"['ct imag', 'electron health record', 'ct']",Imaging Data
34829396,"[""Lung Conditions""]","[""Lung Ultrasound""]",['Lung Conditions'],Respiratory and Lung Conditions,['lung ultrasound'],Imaging Data
34710675,"[""Major Depressive Disorder (MDD)""]","[""T1-weighted MRI scans"",""MRI""]",['Major Depressive Disorder (MDD)'],Psychiatric and Mental Health Disorders,"['t1-weight mri scan', 'mri']",Imaging Data
34810001,"[""invasive pneumococcal disease""]","[""laboratory-confirmed cases"",""clinical data""]",['invasive pneumococcal disease'],Infectious Diseases,"['laboratory-confirm case', 'clinic data']",Clinical and Health Records
35006495,"[""disease on chest radiographs (CXR)"", ""thoracic disease""]","[""Chest X-rays (CXR)"", ""Frontal images (AP/PA)""]","['disease on chest radiographs (CXR)', 'thoracic disease']",Other,"['chest x-ray ( cxr )', 'frontal imag ( ap/pa )']",Imaging Data
35021305,"[""Infertility"", ""Varicocele""]","[""Clinical Data"", ""Hormonal Data"", ""Semen Analysis Data""]","['Infertility', 'Varicocele']",Reproductive Health,"['clinic data', 'hormon data', 'semen analysi data']",Clinical and Health Records
35138012,"[""Alzheimer's disease"", ""Mild cognitive impairment""]","[""MRI""]","[""Alzheimer's disease"", 'Mild cognitive impairment']",Neurological Disorders,['mri'],Imaging Data
35225756,"[""bipolar disorder""]","[""genetic data"", ""clinical data""]",['bipolar disorder'],Psychiatric and Mental Health Disorders,"['genet data', 'clinic data']",Genomic and Molecular Data
37839909,"[""Major Depressive Disorder""]","[""clinical data"", ""demographic data""]",['Major Depressive Disorder'],Psychiatric and Mental Health Disorders,"['clinic data', 'demograph data']",Clinical and Health Records
35322668,"[""Acute Myocardial Infarction""]","[""Electronic Health Records (EHR)"", ""Clinical Notes"", ""Administrative Data""]",['Acute Myocardial Infarction'],Cardiovascular and Vascular Diseases,"['electron health record ( ehr )', 'clinic note', 'administr data']",Clinical and Health Records
35379856,"[""COVID-19""]","[""Chest X-rays""]",['COVID-19'],Respiratory and Lung Conditions,['chest x-ray'],Imaging Data
35381453,"[""imputation""]","[""Clinical Records"", ""Imaging Data""]",['imputation'],Other,"['clinic record', 'imag data']",Clinical and Health Records
35426912,"[""imputation""]","[""Electronic Health Records"", ""Population Brain Imaging"", ""Health Survey"", ""Intensive Care Surveys""]",['imputation'],Other,"['electron health record', 'popul brain imag', 'health survey', 'intens care survey']",Clinical and Health Records
