pid,normalized_diseases,ICD_Code,data_modalities
31800431,[],[],"['virtual reality', 'simulation']"
33753312,['depression'],['F32'],"['Clinical Data', 'Psychological Data', 'Environmental Data', 'neurobiological data']"
30872323,['transplant glomerulopathy'],['Unknown'],"['Clinical Data', 'functional data', 'immunologic data', 'histologic data']"
36469776,['cancer'],['C00'],['plasma glycosaminoglycan profiles']
37428478,['critical illness'],['Z99'],['EHR']
37829182,['type 2 diabetes mellitus'],['Unknown'],"['administrative claims', 'EHR']"
37012019,['acute aortic dissection'],['Unknown'],"['Clinical Data', 'laboratory data', 'imaging data']"
33233605,"[""alzheimer's""]",['G30'],"['social interaction, robot interventions']"
38133915,"['kidney disease', 'kidney transplantation']","['N18', 'Unknown']","['transplant data', 'Clinical Data', 'molecular-genetic matching', 'human leukocyte antigen (hla)', 'donor-specific antibodies (dsa)', 'creatinine', 'proteinuria']"
31150083,['in-hospital cardiac arrest'],['Unknown'],[]
38195644,['lung cancer'],['C34'],['ct imaging']
37397861,['cancer'],['C00'],['radiographic images']
35990802,['covid-19'],['Unknown'],['questionnaire data']
31622838,['heart attack'],['I21'],['cine mr']
33772335,['cervical cancer'],['Unknown'],['pet images']
31981624,"['asthma', 'immune response disorders']","['Unknown', 'Unknown']","['Genomic Data', 'imputed hla alleles']"
34710675,['cervical cancer'],['Unknown'],['pet images']
38212387,['asthma'],['Unknown'],[]
38186562,['kidney disease'],['N18'],[]
32673230,[],[],['text data']
38777894,"['colorectal cancer', 'diverticular disease', 'inflammatory bowel disease']","['Unknown', 'Unknown', 'Unknown']","['preoperative data', 'demographic data', 'Clinical Data']"
35322668,['heart attack'],['I21'],"['electronic health records (ehr)', 'clinical notes', 'administrative data']"
38234807,['progressive supranuclear palsy'],['Unknown'],[]
33033241,['obsessive-compulsive disorder'],['Unknown'],['structural mri']
35426912,"['hemorrhagic shock', 'septic shock', 'cancer', 'skin cancer', ""parkinson's""]","['Unknown', 'Unknown', 'C00', 'Unknown', 'G20']","['EHR', 'population brain imaging', 'health survey', 'intensive care surveys']"
32767763,"['epilepsy', 'neurodevelopmental disorders']","['Unknown', 'Unknown']","['eeg', 'magnetic resonance imaging', 'genomic data', 'Clinical Data']"
38598191,"['frailty', 'postoperative complications']","['Unknown', 'Unknown']","['ct imaging', 'EHR']"
36995714,[],[],['survey data']
38858500,['steatosis'],['Unknown'],['Ultrasound']
38651539,['oral cancer'],['Unknown'],['EHR']
30807586,['juvenile idiopathic arthritis'],['Unknown'],"['Clinical Data', 'joint involvement data']"
30461117,[],[],"['Psychological Data', 'personality clusters']"
38290583,"['depression', 'mental illness']","['F32', 'Unknown']","['structural neuroimaging', 'magnetic resonance imaging']"
32719123,['relationship quality'],['Unknown'],"['Survey Data', 'longitudinal data']"
37564037,['leprosy'],['Unknown'],"['Clinical Data', 'demographic data', 'Genomic Data']"
38621801,"['kidney disease', 'cardiovascular disease']","['N18', 'Unknown']","['longitudinal cohort study', 'population-based data']"
38161988,['pertussis'],['Unknown'],['EHR']
36470898,['glioblastoma'],['Unknown'],['magnetic resonance imaging']
30523141,['medulloblastoma'],['Unknown'],"['mr imaging', 't1-weighted images', 't2-weighted images']"
38082372,"[""alzheimer's""]",['G30'],['frailty factors']
38316811,[],[],[]
38149177,"['narcolepsy', 'narcolepsy', 'hypersomnolence']","['G47.4', 'G47.4', 'Unknown']","['sleep disorder diagnostic data', 'narcolepsy symptoms', 'epworth sleepiness scale', 'cataplexy', 'sleep paralysis']"
38193866,['colorectal cancer'],['Unknown'],[]
38772191,['interstitial lung disease'],['Unknown'],['computed tomography']
29581092,"[""parkinson's""]",['G20'],"['typing data', 'keystroke metrics']"
37422576,['lung cancer'],['C34'],"['Other Imaging', 'Clinical Data']"
32304875,['heart failure'],['Unknown'],"['EHR', 'icd codes', 'discharge summaries']"
36538363,['delirium'],['Unknown'],"['EHR', 'laboratory tests', 'medical image reports']"
37543994,['covid-19'],['Unknown'],['EHR']
37574164,['community-acquired pneumonia'],['Unknown'],[]
33962603,"['respiratory disorders', 'chronic obstructive pulmonary disease', 'asthma', 'interstitial lung disorders', 'ards', 'pneumonia']","['Unknown', 'J44', 'Unknown', 'Unknown', 'Unknown', 'Unknown']","['ventilation parameters', 'serum creatinine', 'serum bilirubin', 'ph', 'paco2']"
34228341,['heart disease'],['Unknown'],"['spect imaging', 'clinical variables']"
32174330,['heart failure'],['Unknown'],['cardiac imaging']
38066031,['cervical cancer'],['Unknown'],['digital images']
36394938,[],[],"['survey', 'Survey Data']"
36652661,['lung cancer'],['C34'],"['ct scans', 'radiation dose plans']"
37900603,['traumatic spinal cord injury'],['Unknown'],"['Clinical Data', 'baseline injury characteristics']"
32943286,"['lung transplant rejection', 'graft loss']","['Unknown', 'Unknown']","['transbronchial biopsies', 'mucosal biopsies', 'gene expression microarrays']"
35138012,"[""alzheimer's"", 'mild cognitive impairment']","['G30', 'Unknown']",['magnetic resonance imaging']
30025851,['pharmaco-resistant focal epilepsies'],['Unknown'],"['intracranial electroencephalography (ieeg)', 'cortico-cortical evoked potentials']"
31728792,['intrahepatic cholangiocarcinoma'],['Unknown'],"['Other Imaging', 'Clinical Data']"
37555513,['chronic obstructive pulmonary disease (copd)'],['Unknown'],['electronic medical record data']
38355486,"['acute kidney injury', 'hyperkalemia', 'hypoglycemia', 'hyponatremia', 'anemia', 'neutropenia', 'thrombocytopenia']","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",[]
33074746,['autism'],['F84'],['functional mri']
32165206,"['malignant pleural mesothelioma', 'transitional mesothelioma']","['Unknown', 'Unknown']","['digital pathology', 'histopathologic slides', 'rna sequencing']"
29886760,"['respiratory distress syndrome', 'intracranial hemorrhage', 'necrotizing enterocolitis', 'sepsis', 'bronchopulmonary dysplasia']","['Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown']",[]
37999728,[],[],[]
31417602,[],[],[]
38951965,['femoral neck fractures'],['Unknown'],[]
38807510,['kidney disease'],['N18'],[]
38156913,"['critically ill', 'mechanical ventilation']","['Unknown', 'Unknown']","['nutritional practice survey', 'clinical outcomes', 'mortality']"
38902526,"['prostate cancer', 'prostate cancer']","['Unknown', 'Unknown']","['blood-based biomarkers', 'clinical biomarker data']"
30947300,['degenerative cervical myelopathy'],['Unknown'],"['clinical variables', 'imaging features']"
30773443,['lung transplant rejection'],['Unknown'],"['biopsy', 'transcriptomics']"
