PMID,PLD,Modality
37310046,FALSE,
38019000,FALSE,
38190258,FALSE,
38326673,TRUE,"""Clinical"", ""Sensor"", ""Behavioral"", ""Demographic"""
38357879,TRUE,Clinical + Sensorimotor (wearable exoskeleton)
38383805,TRUE,"""Imaging"", ""Clinical"""
38405768,TRUE,"""Genomic"", ""Clinical (Phenotype)"""
38409223,FALSE,
38512435,TRUE,"""Clinical"", ""Pet"""
38520646,FALSE,
38575195,FALSE,
38590142,FALSE,
38627132,TRUE,"""Imaging"", ""Clinical"", ""Demographic"", CT images"
38647191,TRUE,"""Clinical"", ""Sensor"", ""Demographic"", ""Cognitive Assessment"", ""Imaging"", MR image"
38696699,FALSE,Other (GPT-4 dermatology diagnostic performance commentary)
38717330,FALSE,
38789645,TRUE,"""Imaging (Histopathology Whole-Slide Images)"", ""Clinical"", ""Genomic"", ""Demographic"""
38808752,FALSE,
38842169,FALSE,
38857570,FALSE,
38858261,FALSE,Other (whitepaper on anatomy ontologies for medical imaging interoperability)
38871841,FALSE,Other (evaluation of ChatGPT for patient education on BPE symptoms)
38873702,TRUE,"""Clinical"", ""Sensor"", ""Demographic"""
38878395,FALSE,
38880121,FALSE,
38881045,FALSE,"Clinical/EHR (demographics, vitals, labs, ICD codes, imaging)"
38901097,FALSE,Other (tree-structured geometrical data)
38905892,TRUE,Imaging (knee MRI segmentation)
38908306,FALSE,
38922721,FALSE,
38924864,FALSE,
38936223,FALSE,
38946041,TRUE,"	Imaging (spinal motion), clinical follow-up data"
38951248,TRUE,"Clinical (treatment demand, demographics, outcomes)"
38954941,FALSE,
38972258,FALSE,
38980942,FALSE,
38981593,TRUE,Imaging (MRI + CT for GAN-based CT synthesis)
38997146,FALSE,
38997881,TRUE,Imaging (CXR for AI detection of no-actionable disease)
39008794,TRUE,Imaging (3D carotid ultrasound segmentation)
39009211,FALSE,
39011113,FALSE,Other (Mendelian randomization proteogenomics for cerebral small vessel disease)
39019077,FALSE,Other (physics-based effective charge data)
39019443,TRUE,Clinical/time-series (wellness + running performance metrics)
39022175,FALSE,
39022298,FALSE,
39023863,FALSE,
39024011,FALSE,
39024163,FALSE,
39025402,FALSE,
39026579,FALSE,
39026819,FALSE,
39028670,FALSE,
39029490,TRUE,Sensor/neural (LFP + spike timing data)
39030342,FALSE,
39030380,TRUE,Imaging (histopathology slides)
39030752,FALSE,
39031079,FALSE,Other (in vitro assay + chemical mixtures)
39031310,FALSE,
39032237,FALSE,
39033326,FALSE,
39034758,TRUE,"Imaging (CCTA scans, CAD detection/classification)"
39034988,FALSE,Imaging
39035052,TRUE,"Imaging (hyperpolarized gas MRI) + Clinical (spirometry, demographics)"
39036965,FALSE,
39037754,TRUE,Clinical/Text (NLP analysis of chat transcripts)
39037850,FALSE,Other (pediatric AI commentary)
39037945,FALSE,
39037993,FALSE,Other (study protocol for TBI equity synthesis)
39038911,TRUE,"Clinical (demographics, labs, biochemistry, hematology)"
39038983,TRUE,Clinical/text (EHR-derived insights on social determinants)
39039296,FALSE,
39039720,TRUE,Clinical Decision Support via ChatGPT (dentistry)
39040123,FALSE,Other (ML commentary on imbalanced datasets)
39040582,TRUE,"Imaging + clinical (qCT features, ECG, radiomics)"
39043087,FALSE,
39043685,FALSE,
39044037,TRUE,Imaging/biomechanical (3D spine ML predictions)
39044633,FALSE,
39045485,FALSE,
39047027,FALSE,
39047165,FALSE,
39047974,FALSE,
39048682,FALSE,
39049273,TRUE,"	Clinical (nursing assessments, EHR data)"
39049277,FALSE,
39049285,TRUE,Clinical (structured community nursing EHR data)
39049411,TRUE,Usability study (mobile app for person-centred care)
39051104,TRUE,"Clinical (exercise surveys, arrhythmia tracking)"
39051648,TRUE,Imaging (stool photos) + clinical (endoscopy labels)
39052236,FALSE,
39052314,TRUE,Clinical + possibly Imaging/Textual
39052548,TRUE,Genomic (microbiome) + clinical (cytokines)
39052668,TRUE,"Clinical (demographics, labs)"
39053116,FALSE,
39053196,FALSE,Imaging (medical) + Transformer (UDTransNet)
39053540,FALSE,–
39054361,TRUE,Imaging (MRI metabolic)
39054582,TRUE,Imaging (FLAIR MRI texture biomarkers) 
39055787,FALSE,
39055931,TRUE,Imaging (fundus fluorescein angiography) + VQA
39056109,TRUE,Clinical/EHR (cancer screening data integration)
39059710,FALSE,Other (math modeling for infectious disease)
39060178,FALSE,
39060305,FALSE,Other (chemical + computational)
39060307,FALSE,
39061178,TRUE,Imaging (PET/CT radiomic features for survival analysis)
39066103,TRUE,"Sensor + Imaging (UWB, IMU movement data)"
39066637,FALSE,
39067309,FALSE,Other (multidisciplinary AI implementation)
39068830,FALSE,
39069027,FALSE,
39069148,TRUE,Clinical (anatomical/occlusion outcome data)
39070129,TRUE,Clinical + biomarker assay
39072028,FALSE,
39075055,FALSE,Other (reporting quality of AI trials)
39075133,TRUE,Imaging (video frames) + positional labels in clinical context
39076208,FALSE,Other (preclinical tissue engineering study)
39077854,TRUE,"Clinical / EHR (ventilation parameters, ICU data)"
39078813,FALSE,
39078880,FALSE,
39079170,FALSE,
39079541,TRUE,Sensor
39080159,FALSE,
39080333,FALSE,
39081605,FALSE,
39082215,FALSE,Other (mass spectrometry data)
39083062,TRUE,Imaging (MRI radiomic features; machine learning)
39083136,FALSE,
39083765,FALSE,
39084408,TRUE,"Clinical / EHR (vascular procedure data, demographics, risk factors)"
39085375,FALSE,Imaging + Other (vision; robotics)
39085477,FALSE,
39087585,TRUE,Clinical (ICD/ATC-coded EHR data for mortality prediction)
39088324,FALSE,
39088821,TRUE,"Clinical / GIS / App data (patient transfer, stroke timelines)"
39090192,TRUE,"Genomic / transcriptomic (gene expression profiling, AML outcome modeling)"
39090573,FALSE,
39092239,FALSE,
39092497,FALSE,
39092553,FALSE,
39094095,FALSE,
39094840,TRUE,Clinical ML (EHR data for 30‑day readmission prediction)
39095707,FALSE,
