"pid","countries","x","modalities","modalities2"
"28601499","[""Australia"", ""Canada""]","[""fMRI""], [""fMRI""]","[""fMRI""]","[""fMRI""]"
"28651909","[""Canada"", ""China""]","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""], [""cognitive tests""]","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""]","[""cognitive tests""]"
"28756487","[""Canada"", ""France"", ""United Kingdom""]","[""anatomical"", ""functional""], [""voice-sensitive cortex"", ""functional voice activity""]","[""anatomical"", ""functional""]","[""voice-sensitive cortex"", ""functional voice activity""]"
"28771699","[""Brazil"", ""Canada"", ""Israel""]","[""Checkerboard DNA-DNA hybridisation""], [""DNA-DNA hybridisation""]","[""Checkerboard DNA-DNA hybridisation""]","[""DNA-DNA hybridisation""]"
"28853237","[""Canada"", ""Russia""]","[""Optical Coherence Tomography""], [""optical coherence tomography""]","[""Optical Coherence Tomography""]","[""optical coherence tomography""]"
"28869436","[""Canada"", ""China""]","[""Lower Limbs Rehabilitation Robot""], [""Robot"", ""Device""]","[""Lower Limbs Rehabilitation Robot""]","[""Robot"", ""Device""]"
"28952798","[""Canada"", ""United States""]","[""Medical""], [""Blood Pressure"", ""Systolic BP"", ""Diastolic BP""]","[""Medical""]","[""Blood Pressure"", ""Systolic BP"", ""Diastolic BP""]"
"28968847","[""Canada"", ""Germany"", ""United States""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"28981875","[""Canada"", ""Germany"", ""Turkey"", ""United States""]","[""Nil""], [""Text"", ""Audio""]","[""Nil""]","[""Text"", ""Audio""]"
"28987903","[""Canada""]","[""MR""], [""Cardiac Images (MR sequences)""]","[""MR""]","[""Cardiac Images (MR sequences)""]"
"29043544","[""Canada"", ""Poland"", ""United Kingdom""]","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""], [""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""]","[""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]"
"29065782","[""Canada""]","[""Clinical""], [""Surgery"", ""Medicine""]","[""Clinical""]","[""Surgery"", ""Medicine""]"
"29071211","[""Canada""]","[""Myelin"", ""T1-weighted MRI""], [""Myelin Maps"", ""T1-weighted MRI""]","[""Myelin"", ""T1-weighted MRI""]","[""Myelin Maps"", ""T1-weighted MRI""]"
"29084099","[""Canada""]","[""Sensorimotor"", ""Visuospatial attention"", ""Working Memory"", ""Executive Function""], [""Robotics"", ""Sensorimotor""]","[""Sensorimotor"", ""Visuospatial attention"", ""Working Memory"", ""Executive Function""]","[""Robotics"", ""Sensorimotor""]"
"29098645","[""Canada"", ""China"", ""Netherlands""]","[""Cognitive features""], [""Cognitive features""]","[""Cognitive features""]","[""Cognitive features""]"
"29128490","[""Australia"", ""Canada""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"29169029","[""Canada""]","[""Electron Microscopy"", ""CT"", ""MRI""], [""Electron Microscopy"", ""CT images"", ""MRI""]","[""Electron Microscopy"", ""CT"", ""MRI""]","[""Electron Microscopy"", ""CT images"", ""MRI""]"
"29193460","[""Canada""]","[""Imaging"", ""Robotics""], [""diffusion_tensor_imaging"", ""robotic""]","[""Imaging"", ""Robotics""]","[""diffusion_tensor_imaging"", ""robotic""]"
"29194610","[""Canada"", ""Georgia"", ""United States""]","[""dental-related claims""], [""topical fluoride"", ""dental sealants""]","[""dental-related claims""]","[""topical fluoride"", ""dental sealants""]"
"29244902","[""Canada""]","[""Electronic portal imaging device (EPID)"", ""Tumor position""], [""Electronic Portal Imaging Device""]","[""Electronic portal imaging device (EPID)"", ""Tumor position""]","[""Electronic Portal Imaging Device""]"
"29251172","[""Canada"", ""Russia"", ""United States""]","[""Gene expression profile""], [""gene expression""]","[""Gene expression profile""]","[""gene expression""]"
"29254878","[""Canada"", ""United States""]","[""Self-report"", ""Likert scale""], [""self-report""]","[""Self-report"", ""Likert scale""]","[""self-report""]"
"29268169","[""Canada"", ""China"", ""France"", ""Poland"", ""United States""]","[""MICCAI""], [""X-ray"", ""Computed Tomography""]","[""MICCAI""]","[""X-ray"", ""Computed Tomography""]"
"29272464","[""Canada"", ""Czechia"", ""Germany"", ""Turkey"", ""United States""]","[""Structural magnetic resonance imaging scans (MRI)""], [""MRI scans""]","[""Structural magnetic resonance imaging scans (MRI)""]","[""MRI scans""]"
