"pid","combined_modalities"
"28987903","{""[\""Cardiac Images (MR sequences)\""]"",""[\""MR\""]""}"
"29065782","{""[\""Clinical\""]"",""Medicine\""]"",""[\""Surgery""}"
"29071211","{""[\""Myelin"",""[\""Myelin Maps"",""T1-weighted MRI\""]""}"
"29084099","{""Executive Function\""]"",""[\""Robotics"",""[\""Sensorimotor"",""Sensorimotor\""]"",""Visuospatial attention"",""Working Memory""}"
"29169029","{CT,""CT images"",""[\""Electron Microscopy"",""MRI\""]""}"
"29193460","{""[\""diffusion_tensor_imaging"",""[\""Imaging"",""robotic\""]"",""Robotics\""]""}"
"29244902","{""[\""Electronic Portal Imaging Device\""]"",""[\""Electronic portal imaging device (EPID)"",""Tumor position\""]""}"
"29294157","{""[\""Computed Tomography\""]"",""[\""CT scans\""]""}"
"29300432","{""[\""Bedside clinical assessment\""]""}"
"29304138","{""[\""Histopathological images"",""[\""image"",""Ki67 scores\""]"",""pathology\""]""}"
"29334038","{""[\""MRI"",""[\""MRI\""]"",""Neuronavigation\""]""}"
"29336922","{""[\""Images\""]"",""[\""PET\""]""}"
"29344313","{""[\""DNA methylation\""]"",""[\""Genomic Data\""]""}"
"29346286","{[]}"
"29354080","{""[\""audio"",""[\""Audio"",""physiological\""]"",""Physiological\""]""}"
"29355792","{""[\""Biomechanical"",""[\""force"",""movement\""]"",""Robotic\""]""}"
"29378522","{""[\""EEG\""]"",""[\""Electroencephalography\""]""}"
"29407288","{""[\""Genome-wide data"",""Self-reporting\""]""}"
"29502031","{""[\""FDG-PET\""]"",""[\""FDG-PET metabolism imaging\""]""}"
"29609039","{""[\""Brain MRI Images\""]"",""[\""MRI\""]""}"
"29616521","{""[\""Cerebral oxygenation"",""[\""Near-infrared spectrometer\""]"",""Neurological function\""]""}"
"29632364","{""FDG-PET images\""]"",""[\""MR"",""PET\""]"",""[\""structural MR""}"
"29642656","{}"
"29664902","{""Functional\""]"",""Functional MRI\""]"",""[\""Structural"",""[\""Structural MRI""}"
"29665537","{""[\""2D Slices\""]"",""[\""Digital Breast Tomosynthesis\""]""}"
