"pid","countries","x","modalities","modalities2"
"28651909","[""Canada"", ""China""]","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""], [""cognitive tests""]","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""]","[""cognitive tests""]"
"28869436","[""Canada"", ""China""]","[""Lower Limbs Rehabilitation Robot""], [""Robot"", ""Device""]","[""Lower Limbs Rehabilitation Robot""]","[""Robot"", ""Device""]"
"29098645","[""Canada"", ""China"", ""Netherlands""]","[""Cognitive features""], [""Cognitive features""]","[""Cognitive features""]","[""Cognitive features""]"
"29268169","[""Canada"", ""China"", ""France"", ""Poland"", ""United States""]","[""MICCAI""], [""X-ray"", ""Computed Tomography""]","[""MICCAI""]","[""X-ray"", ""Computed Tomography""]"
"29356346","[""Canada"", ""China""]","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""], [""Audiogram"", ""Hearing level""]","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""]","[""Audiogram"", ""Hearing level""]"
"29450848","[""Canada"", ""China""]","[""MRI""], [""T1/T2-weighted MRI scans""]","[""MRI""]","[""T1/T2-weighted MRI scans""]"
"29674371","[""Canada"", ""China""]","[""NCCT""], [""CT""]","[""NCCT""]","[""CT""]"
"29693792","[""Brazil"", ""Canada"", ""China"", ""United States""]","[""Proteomics""], [{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]","[""Proteomics""]","[{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]"
"29801696","[""Canada"", ""China""]","[""Plain Text"", ""Structured Database""], [""Text"", ""Structured dataset""]","[""Plain Text"", ""Structured Database""]","[""Text"", ""Structured dataset""]"
"29844511","[""Canada"", ""China""]",NULL,NULL,NULL
"29921920","[""Canada"", ""China"", ""United States""]","[""Functional connectivity data""], [""Blood-Oxygen-Level Dependent Signals""]","[""Functional connectivity data""]","[""Blood-Oxygen-Level Dependent Signals""]"
"29980214","[""Canada"", ""China"", ""United States""]","[""Medical imaging"", ""Radiation therapy""], [""2D Dose Map"", ""3D Dose Data""]","[""Medical imaging"", ""Radiation therapy""]","[""2D Dose Map"", ""3D Dose Data""]"
"30025851","[""Canada"", ""China"", ""Czechia"", ""Finland"", ""France"", ""Germany"", ""Italy"", ""Romania"", ""Spain"", ""United Kingdom""]",NULL,"[""Neuroscience""]",NULL
"30046955","[""Canada"", ""China""]","[""3D ultrasound"", ""intensity""], [""Ultrasound""]","[""3D ultrasound"", ""intensity""]","[""Ultrasound""]"
"30084192","[""Canada"", ""China"", ""Mexico"", ""United States""]","[""fMRI""], {""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}","[""fMRI""]","{""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}"
"30104567","[""Austria"", ""Canada"", ""China"", ""Czechia"", ""Denmark"", ""France"", ""Germany"", ""Greece"", ""Israel"", ""Italy"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Poland"", ""Romania"", ""Serbia"", ""Singapore"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""text"", ""image""]"
"30252978","[""Canada"", ""China"", ""United States""]","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""], [""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""]","[""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]"
"30300751","[""Canada"", ""China"", ""France"", ""Italy"", ""Japan"", ""Sweden"", ""United Kingdom"", ""United States""]","[""MRI""], [{""MRI"": ""Yes""}, {""CT"": ""No""}]","[""MRI""]","[{""MRI"": ""Yes""}, {""CT"": ""No""}]"
"30463545","[""Canada"", ""China"", ""Georgia""]",NULL,NULL,"[""EMRs""]"
"30625395","[""Canada"", ""China""]","[""T1-and T2-weighted MR images""], [""MRI"", ""T1-weighted"", ""T2-weighted""]","[""T1-and T2-weighted MR images""]","[""MRI"", ""T1-weighted"", ""T2-weighted""]"
"30661193","[""Canada"", ""China"", ""United States""]","[""T1 contrast enhanced"", ""T2-FLAIR""], [""MRI""]","[""T1 contrast enhanced"", ""T2-FLAIR""]","[""MRI""]"
"30745169","[""Canada"", ""China""]","[""EHRs"", ""miRNAs""], [""exosomal microRNAs""]","[""EHRs"", ""miRNAs""]","[""exosomal microRNAs""]"
"30847821","[""Canada"", ""China"", ""United States""]","[""Imaging"", ""Clinical""], [""SPECT Imaging"", ""Clinical Measures""]","[""Imaging"", ""Clinical""]","[""SPECT Imaging"", ""Clinical Measures""]"
"30885044","[""Canada"", ""China"", ""Israel"", ""United States""]","[""DNA methylation""], [""DNA methylation""]","[""DNA methylation""]","[""DNA methylation""]"
"30948811","[""Canada"", ""China"", ""Korea, Republic of"", ""United States""]","[""MRI""], [{""value"": ""medical imaging""}, {""value"": ""electroencephalography (EEG)""}]","[""MRI""]","[{""value"": ""medical imaging""}, {""value"": ""electroencephalography (EEG)""}]"
"31048199","[""Canada"", ""China""]","[""T1-weighted MR images"", ""T2-weighted MR images""], [""MRI""]","[""T1-weighted MR images"", ""T2-weighted MR images""]","[""MRI""]"
"31062050","[""Canada"", ""China"", ""Singapore""]","[""Ventilator variables"", ""Mortality""], [""Text"", ""Machine learning""]","[""Ventilator variables"", ""Mortality""]","[""Text"", ""Machine learning""]"
"31108670","[""Canada"", ""China""]",NULL,"[""unsupervised learning""]",NULL
"31154512","[""Canada"", ""China""]","[""Smartphone Sensor""], [""walking speed"", ""gait deficits""]","[""Smartphone Sensor""]","[""walking speed"", ""gait deficits""]"
"31164212","[""Canada"", ""China""]","[""Medical records""], [""Medical Imaging"", ""Lab Results""]","[""Medical records""]","[""Medical Imaging"", ""Lab Results""]"
"31324151","[""Canada"", ""China""]","[""Lipid metabolites"", ""FPG"", ""TG""], [""plasma glucose"", ""triglyceride""]","[""Lipid metabolites"", ""FPG"", ""TG""]","[""plasma glucose"", ""triglyceride""]"
"31326191","[""Australia"", ""Canada"", ""China"", ""France"", ""Italy"", ""Japan"", ""Netherlands"", ""Portugal"", ""Romania"", ""Turkey"", ""United States""]","[""Medical Imaging"", ""Clinical Data""], [""image"", ""text""]","[""Medical Imaging"", ""Clinical Data""]","[""image"", ""text""]"
"31338709","[""Canada"", ""China"", ""United States""]","[""PET"", ""CT""], [""images""]","[""PET"", ""CT""]","[""images""]"
"31369994","[""Canada"", ""China""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"31376633","[""Canada"", ""China""]",NULL,NULL,"[""structured-sparsity regularization"", ""group lasso""]"
"31382766","[""Canada"", ""China""]","[""Facial Blood Flow"", ""Video""], [""Video"", ""Machine Learning""]","[""Facial Blood Flow"", ""Video""]","[""Video"", ""Machine Learning""]"
"31477924","[""Canada"", ""China"", ""Hong Kong""]","[""Biochemical"", ""Cell-based""], [""molecular""]","[""Biochemical"", ""Cell-based""]","[""molecular""]"
"31570096","[""Canada"", ""China"", ""Japan""]","[""Clinical"", ""Laboratory""], [""Clinical and laboratory parameters""]","[""Clinical"", ""Laboratory""]","[""Clinical and laboratory parameters""]"
"31622838","[""Canada"", ""China""]","[""MR Imaging""], [""MRI""]","[""MR Imaging""]","[""MRI""]"
"31631618","[""Canada"", ""China""]","[""Magnetic Resonance Imaging (MRI)""], [""MRI""]","[""Magnetic Resonance Imaging (MRI)""]","[""MRI""]"
"31636101","[""Canada"", ""China"", ""United States""]","[""Images""], [""Image""]","[""Images""]","[""Image""]"
"31731092","[""Canada"", ""China""]","[""Fundus images""], [{""Text"": ""fundus images""}]","[""Fundus images""]","[{""Text"": ""fundus images""}]"
"31785402","[""Canada"", ""China"", ""Korea, Republic of"", ""United States""]","[""T1-weighted"", ""T2-weighted""], [""T1-weighted"", ""T2-weighted""]","[""T1-weighted"", ""T2-weighted""]","[""T1-weighted"", ""T2-weighted""]"
"31866804","[""Canada"", ""China"", ""Cuba"", ""United States""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"31901611","[""Canada"", ""China""]","[""Imaging""], [""Image""]","[""Imaging""]","[""Image""]"
"31937619","[""Canada"", ""China"", ""United States""]","[""MR Imaging""], [""MRI""]","[""MR Imaging""]","[""MRI""]"
"31952981","[""Canada"", ""China"", ""France"", ""Netherlands""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"31971257","[""Canada"", ""China"", ""France""]","[""Facial skin signs"", ""Selfie pictures""], [""images"", ""lighting conditions""]","[""Facial skin signs"", ""Selfie pictures""]","[""images"", ""lighting conditions""]"
"32007701","[""Canada"", ""China""]","[""Echocardiography""], [""2D"", ""3D""]","[""Echocardiography""]","[""2D"", ""3D""]"
"32016430","[""Canada"", ""China"", ""Hong Kong""]","[""functional magnetic resonance imaging"", ""working memory""], [""fMRI""]","[""functional magnetic resonance imaging"", ""working memory""]","[""fMRI""]"
"32068890","[""Canada"", ""China"", ""Netherlands""]",NULL,"[""Laryngtorhinolaryngology""]",NULL
"32069213","[""Canada"", ""China"", ""United States""]","[""Text""], [""Text"", ""Dialogue""]","[""Text""]","[""Text"", ""Dialogue""]"
"32174330","[""Canada"", ""China""]","[""Cardiac magnetic resonance imaging""], [""optical flow"", ""motion features""]","[""Cardiac magnetic resonance imaging""]","[""optical flow"", ""motion features""]"
"32220502","[""Canada"", ""China"", ""Netherlands""]","[""Functional MRI""], [""MRI""]","[""Functional MRI""]","[""MRI""]"
