"pid","title"
"29609039","Computer-aided diagnosis of cavernous malformations in brain MR images."
"29616521","The relationship between cerebral oxygen saturation and quantitative metrics of neurological function after coronary bypass surgery: a feasibility study."
"29632364","Multimodal and Multiscale Deep Neural Networks for the Early Diagnosis of Alzheimer's Disease using structural MR and FDG-PET images."
"29636016","Machine learning classification of first-episode schizophrenia spectrum disorders and controls using whole brain white matter fractional anisotropy."
"29642656","Socioeconomic disparities and difficulties to access to healthcare services among Canadian children with neurodevelopmental disorders and disabilities."
"29708944","Multivariate machine learning distinguishes cross-network dynamic functional connectivity patterns in state and trait neuropathic pain."
"29854259","Initial Usability Evaluation of a Knowledge-Based Population Health Information System: The Population Health Record (PopHR)."
"29860189","Detecting inspiratory flow limitation with temporal features of nasal airflow."
"30290728","Technology integrated health management for dementia."
"30300751","Automatic segmentation of the spinal cord and intramedullary multiple sclerosis lesions with convolutional neural networks."
"30301895","Genetic signature to provide robust risk assessment of psoriatic arthritis development in psoriasis patients."
"33934542","Clinical phenogroups are more effective than left ventricular ejection fraction categories in stratifying heart failure outcomes."
"30992063","Mutations in ATP13A2 (PARK9) are associated with an amyotrophic lateral sclerosis-like phenotype, implicating this locus in further phenotypic expansion."
"32193665","Predicting the Response to FOLFOX-Based Chemotherapy Regimen from Untreated Liver Metastases on Baseline CT: a Deep Neural Network Approach."
"32864270","Predicting COVID-19 Pneumonia Severity on Chest X-ray With Deep Learning."
"32864596","Prediction of lung cancer risk at follow-up screening with low-dose CT: a training and validation study of a deep learning method."
"32941770","Defining reperfusion post endovascular therapy in ischemic stroke using MR-dynamic contrast enhanced perfusion."
"32943286","Molecular T-cell‒mediated rejection in transbronchial and mucosal lung transplant biopsies is associated with future risk of graft loss."
"32943654","Convolutional neural networks versus radiologists in characterization of small hypoattenuating hepatic nodules on CT: a critical diagnostic challenge in staging of colorectal carcinoma."
"32945910","Does size matter? The relationship between predictive power of single-subject morphometric networks to spatial scale and edge weight."
"32957946","Are we ready for artificial intelligence health monitoring in elder care?"
"32997560","Detection Methods of COVID-19."
"33002841","A hybrid machine learning approach to localizing the origin of ventricular tachycardia using 12-lead electrocardiograms."
"33003163","Accurate Classification of Pediatric Colonic Inflammatory Bowel Disease Subtype Using a Random Forest Machine Learning Classifier."
"33003524","Accuracy of the Dexcom G6 Glucose Sensor during Aerobic, Resistance, and Interval Exercise in Adults with Type 1 Diabetes."
"33005028","Identifying and validating subtypes within major psychiatric disorders based on frontal-posterior functional imbalance via deep learning."
"33288765","Quantifying the influence of mutation detection on tumour subclonal reconstruction."
"33289519","Prediction of Worse Functional Status After Surgery for Degenerative Cervical Myelopathy: A Machine Learning Approach."
"33500958","Reactive Reinforcement Learning in Asynchronous Environments."
"28350526","Exploring types of play in an adapted robotics program for children with disabilities."
"33655433","The need for health AI ethics in medical school education."
"33657184","Cohort profile: St. Michael's Hospital Tuberculosis Database (SMH-TB), a retrospective cohort of electronic health record data and variables extracted using natural language processing."
"33658605","Peripheral inflammatory biomarkers define biotypes of bipolar depression."
"33672259","Spinal Cord Morphology in Degenerative Cervical Myelopathy Patients; Assessing Key Morphological Characteristics Using Machine Vision Tools."
"35126902","Semisupervised Seizure Prediction in Scalp EEG Using Consistency Regularization."
"35127487","Digital Twin Technology: The Future of Predicting Neurological Complications of Pediatric Cancers and Their Treatment."
"34140617","Dissecting the midlife crisis: disentangling social, personality and demographic determinants in social brain anatomy."
"34181661","Replication of machine learning methods to predict treatment outcome with antidepressant medications in patients with major depressive disorder from STAR*D and CAN-BIND-1."
"34183345","Developing a reporting guideline for artificial intelligence-centred diagnostic test accuracy studies: the STARD-AI protocol."
"34185253","Automatic linear measurements of the fetal brain on MRI with deep neural networks."
"34185798","Deep learning to predict long-term mortality in patients requiring 7 days of mechanical ventilation."
"34213529","phyLoSTM: a novel deep learning model on disease prediction from longitudinal microbiome data."
"34214101","A machine learning based exploration of COVID-19 mortality risk."
"34214980","Rescue therapy for vasospasm following aneurysmal subarachnoid hemorrhage: a propensity score-matched analysis with machine learning."
"34248903","Characterization of Supragingival Plaque and Oral Swab Microbiomes in Children With Severe Early Childhood Caries."
"28601499","Multisite generalizability of schizophrenia diagnosis classification based on functional brain connectivity."
"28651909","Convergence and divergence of neurocognitive patterns in schizophrenia and depression."
"34487910","Acceptability, usefulness, and satisfaction with a web-based video-tailored physical activity intervention: The TaylorActive randomized controlled trial."
"34487983","Automatic annotation of cervical vertebrae in videofluoroscopy images via deep learning."
"34489404","Learning interpretable cellular and gene signature embeddings from single-cell transcriptomic data."
"34490899","Detection of sarcopenic obesity and prediction of long-term survival in patients with gastric cancer using preoperative computed tomography and machine learning."
"34490909","A data-driven T2 relaxation analysis approach for myelin water imaging: Spectrum analysis for multiple exponentials via experimental condition oriented simulation (SAME-ECOS)."
"34541337","Machine learning for identification of frailty in Canadian primary care practices."
"34543173","Commentary: Community Knowledge for Equity in Healthcare."
"34547916","Nanoparticle surface-enhanced Raman spectroscopy as a noninvasive, label-free tool to monitor hematological malignancy."
"34557674","Learning from Few Subjects with Large Amounts of Voice Monitoring Data."
"34694234","Evaluating the Clinical Feasibility of an Artificial Intelligence-Powered, Web-Based Clinical Decision Support System for the Treatment of Depression in Adults: Longitudinal Feasibility Study."
"34694564","MRI radiomics to differentiate between low grade glioma and glioblastoma peritumoral region."
"34760140","A Machine-Learning-Based System for Prediction of Cardiovascular and Chronic Respiratory Diseases."
"28696831","Preliminary testing by adults of a haptics-assisted robot platform designed for children with physical impairments to access play."
"29869321","Non-rigid registration of 3D ultrasound for neurosurgery using automatic feature detection and matching."
"35269470","Severe COVID-19 Shares a Common Neutrophil Activation Signature with Other Acute Inflammatory States."
"34936195","Performance of a knowledge-based planning model for optimizing intensity-modulated radiotherapy plans for partial breast irradiation."
"34936894","Predicting 30-Day Readmissions in Patients With Heart Failure Using Administrative Data: A Machine Learning Approach."
"34936945","A computer vision-based mobile tool for assessing human posture: A validation study."
"34937750","Recovery after stroke: the severely impaired are a distinct group."
"34938605","Deciphering a TB-related DNA methylation biomarker and constructing a TB diagnostic classifier."
"34949699","Chronic lung allograft dysfunction phenotype and prognosis by machine learning CT analysis."
"34950616","Comparison of Multivariable Logistic Regression and Machine Learning Models for Predicting Bronchopulmonary Dysplasia or Death in Very Preterm Infants."
"29886268","A deep learning approach for real time prostate segmentation in freehand ultrasound guided biopsy."
"29886760","Estimating risk of severe neonatal morbidity in preterm births under 32 weeks of gestation."
"29889330","The initiation of cannabis use in adolescence is predicted by sex-specific psychosocial and neurobiological features."
"35468151","Multi-omic analysis reveals enriched pathways associated with COVID-19 and COVID-19 severity."
"35469087","Waiting for baseline stability in single-case designs: Is it worth the time and effort?"
"35472473","Depression screening using a non-verbal self-association task: A machine-learning based pilot study."
"35474073","A machine learning algorithm for electrocardiographic fQRS quantification validated on multi-center data."
"35475554","Large scale genotype- and phenotype-driven machine learning in Von Hippel-Lindau disease."
"35477557","Molecular Characterization of Membranous Nephropathy."
"35478098","Agreement between visual inspection and objective analysis methods: A replication and extension."
"29893482","Using the MEDiPORT humanoid robot to reduce procedural pain and distress in children with cancer: A pilot randomized controlled trial."
"29902277","Neural network models of the tactile system develop first-order units with spatially complex receptive fields."
"36836230","Prediction of Blood Risk Score in Diabetes Using Deep Neural Networks."
"29905649","Multivariate pattern classification of brain white matter connectivity predicts classic trigeminal neuralgia."
"29905656","Pain processing in the human brainstem and spinal cord before, during, and after the application of noxious heat stimuli."
"29921920","Treatment response prediction and individualized identification of first-episode drug-naïve schizophrenia using brain functional connectivity."
"36005841","The Impact of Artificial Intelligence on Health Equity in Oncology: Scoping Review."
"29949021","Dynamic ensemble selection of learner-descriptor classifiers to assess curve types in adolescent idiopathic scoliosis."
"31636101","Deep Learning Based on Standard HE Images of Primary Melanoma Tumors Identifies Patients at Risk for Visceral Recurrence and Death."
"31636895","Promoting the use of self-management in patients with spine pain managed by chiropractors and chiropractic interns: barriers and design of a theory-based knowledge translation intervention."
"31638491","Chronic Obstructive Pulmonary Disease: Thoracic CT Texture Analysis and Machine Learning to Predict Pulmonary Ventilation."
"36046472","A morphological study of schizophrenia with magnetic resonance imaging, advanced analytics, and machine learning."
"36050434","High-dimensional multinomial multiclass severity scoring of COVID-19 pneumonia using CT radiomics features and machine learning algorithms."
"36055201","High-coverage whole-genome sequencing of the expanded 1000 Genomes Project cohort including 602 trios."
"36072822","Risk Factors Associated with Mortality in COVID-19 Hospitalized Patients: Data from the Middle East."
"36075963","The orphan receptor GPR88 controls impulsivity and is a risk factor for Attention-Deficit/Hyperactivity Disorder."
"36081373","Objective performance metrics in human robotic neuroendovascular interventions: a scoping review protocol."
"36083416","Dementia in Convolutional Neural Networks: Using Deep Learning Models to Simulate Neurodegeneration of the Visual System."
"30255819","The challenge of detecting genotype-by-methylation interaction: GAW20."
"30262516","Deep Learning Analysis of Upright-Supine High-Efficiency SPECT Myocardial Perfusion Imaging for Prediction of Obstructive Coronary Artery Disease: A Multicenter Study."
"30263040","A deep neural network based regression model for triglyceride concentrations prediction using epigenome-wide DNA methylation profiles."
"32887670","Chemoprophylaxis, diagnosis, treatments, and discharge management of COVID-19: An evidence-based clinical practice guideline (updated version)."
"32888727","Novel adaptive impedance control for exoskeleton robot for rehabilitation using a nonlinear time-delay disturbance observer."
"33915960","Combined Atlas and Convolutional Neural Network-Based Segmentation of the Hippocampus from MRI According to the ADNI Harmonized Protocol."
"30340027","Automatic grading of prostate cancer in digitized histopathology images: Learning from multiple experts."
"30352783","A Valid and Precise Semiautomated Method for Quantifying Intermuscular Fat Intramuscular Fat in Lower Leg Magnetic Resonance Images."
"30354561","Neural Networks for Prognostication of Patients With Heart Failure."
"30367117","Distinct transcriptional repertoire of the androgen receptor in ETS fusion-negative prostate cancer."
"30373211","Photoplethysmography and Deep Learning: Enhancing Hypertension Risk Stratification."
"36229614","A predictive computational platform for optimizing the design of bioartificial pancreas devices."
"36233593","Meeting the Challenges of Myocarditis: New Opportunities for Prevention, Detection, and Intervention-A Report from the 2021 National Heart, Lung, and Blood Institute Workshop."
"36236373","Optical Monitoring of Breathing Patterns and Tissue Oxygenation: A Potential Application in COVID-19 Screening and Monitoring."
"36236422","Using Deep Learning for Task and Tremor Type Classification in People with Parkinson's Disease."
