"pid","countries","x","modalities","modalities2"
"28968847","[""Canada"", ""Germany"", ""United States""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"28981875","[""Canada"", ""Germany"", ""Turkey"", ""United States""]","[""Nil""], [""Text"", ""Audio""]","[""Nil""]","[""Text"", ""Audio""]"
"29272464","[""Canada"", ""Czechia"", ""Germany"", ""Turkey"", ""United States""]","[""Structural magnetic resonance imaging scans (MRI)""], [""MRI scans""]","[""Structural magnetic resonance imaging scans (MRI)""]","[""MRI scans""]"
"29454222","[""Canada"", ""Czechia"", ""Germany"", ""Turkey""]","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""], [""structural MRI"", ""fasting lipids"", ""body mass index""]","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""]","[""structural MRI"", ""fasting lipids"", ""body mass index""]"
"29539639","[""Australia"", ""Austria"", ""Canada"", ""Denmark"", ""France"", ""Germany"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Norway"", ""Russia"", ""Switzerland"", ""United Kingdom"", ""United States""]","[""DNA methylation""], [""text"", ""image"", ""audio""]","[""DNA methylation""]","[""text"", ""image"", ""audio""]"
"29636016","[""Canada"", ""Czechia"", ""Germany"", ""Turkey""]","[""Diffusion Tensor Imaging""], [""MRI""]","[""Diffusion Tensor Imaging""]","[""MRI""]"
"29753765","[""Austria"", ""Canada"", ""Germany"", ""Israel"", ""Italy"", ""Netherlands"", ""Portugal"", ""Saudi Arabia"", ""South Korea"", ""Switzerland"", ""United States""]","[""Imaging"", ""Cardiology""], [""CT"", ""MRI""]","[""Imaging"", ""Cardiology""]","[""CT"", ""MRI""]"
"29889330","[""Austria"", ""Canada"", ""France"", ""Germany"", ""Ireland"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""fMRI"", ""EEG""]"
"30025851","[""Canada"", ""China"", ""Czechia"", ""Finland"", ""France"", ""Germany"", ""Italy"", ""Romania"", ""Spain"", ""United Kingdom""]",NULL,"[""Neuroscience""]",NULL
"30104567","[""Austria"", ""Canada"", ""China"", ""Czechia"", ""Denmark"", ""France"", ""Germany"", ""Greece"", ""Israel"", ""Italy"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Poland"", ""Romania"", ""Serbia"", ""Singapore"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""text"", ""image""]"
"30155789","[""Canada"", ""France"", ""Germany"", ""Netherlands"", ""Spain"", ""Switzerland"", ""United Kingdom""]","[""Imaging""], [""Imaging""]","[""Imaging""]","[""Imaging""]"
"30171211","[""Australia"", ""Brazil"", ""Canada"", ""Colombia"", ""France"", ""Germany"", ""Ireland"", ""Mexico"", ""Netherlands"", ""Norway"", ""South Africa"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,"[""structural MRI""]",NULL
"30218110","[""Canada"", ""Germany""]","[""Magnetic Resonance Imaging""], [""MRI"", ""clinical data""]","[""Magnetic Resonance Imaging""]","[""MRI"", ""clinical data""]"
"30229903","[""Canada"", ""Germany"", ""Ireland"", ""Israel"", ""Italy"", ""Spain"", ""Sweden"", ""United Kingdom""]",NULL,NULL,"[]"
"30301895","[""Canada"", ""Germany"", ""Sweden"", ""United States""]",NULL,NULL,"[""Image""]"
"30587458","[""Canada"", ""Germany"", ""Netherlands"", ""Sweden"", ""United States""]","[""proteomics"", ""CT""], [""tomography"", ""angiography""]","[""proteomics"", ""CT""]","[""tomography"", ""angiography""]"
"30594138","[""Australia"", ""Canada"", ""Germany"", ""Greece"", ""Spain"", ""Switzerland""]",NULL,"[""Text"", ""Numerical""]",NULL
"30724079","[""Canada"", ""Germany""]","[""Raman spectroscopy""], [""Raman Spectroscopy""]","[""Raman spectroscopy""]","[""Raman Spectroscopy""]"
"30847388","[""Canada"", ""Germany"", ""Turkey""]","[""Neuronal recordings""], [""neuronal"", ""machine learning""]","[""Neuronal recordings""]","[""neuronal"", ""machine learning""]"
"31009356","[""Canada"", ""Germany"", ""Switzerland""]",NULL,"[""Neuroradiology"", ""Radiology"", ""Neurology""]",NULL
