"pid","combined_modalities"
"28968847","{""[\""MRI\""]""}"
"28981875","{""Audio\""]"",""[\""Nil\""]"",""[\""Text""}"
"29272464","{""[\""MRI scans\""]"",""[\""Structural magnetic resonance imaging scans (MRI)\""]""}"
"29454222","{""body mass index\""]"",""fasting lipids"",""Lipids and body mass index\""]"",""[\""Magnetic Resonance Imaging"",""[\""structural MRI""}"
"29539639","{""audio\""]"",""[\""DNA methylation\""]"",image,""[\""text""}"
"29636016","{""[\""Diffusion Tensor Imaging\""]"",""[\""MRI\""]""}"
"29753765","{""Cardiology\""]"",""[\""CT"",""[\""Imaging"",""MRI\""]""}"
"29889330","{""EEG\""]"",""[\""fMRI""}"
"30025851","{""[\""Neuroscience\""]""}"
"30104567","{""image\""]"",""[\""text""}"
"30155789","{""[\""Imaging\""]""}"
"30171211","{""[\""structural MRI\""]""}"
"30218110","{""clinical data\""]"",""[\""Magnetic Resonance Imaging\""]"",""[\""MRI""}"
"30229903","{[]}"
"30301895","{""[\""Image\""]""}"
"30587458","{""angiography\""]"",""CT\""]"",""[\""proteomics"",""[\""tomography""}"
"30594138","{""Numerical\""]"",""[\""Text""}"
"30724079","{""[\""Raman spectroscopy\""]"",""[\""Raman Spectroscopy\""]""}"
"30847388","{""machine learning\""]"",""[\""neuronal"",""[\""Neuronal recordings\""]""}"
"31009356","{""Neurology\""]"",""[\""Neuroradiology"",Radiology}"
"31173905","{""[{\""modality\"": \""MRI\""}]"",""[\""MRI\""]""}"
"31216543","{""[\""Computed Tomography\""]"",""[\""Computed Tomography Angiography\""]""}"
"31417602","{[],""Genomics\""]"",""[\""Imaging""}"
"31479590","{""[\""text\""]"",""[\""Text\""]""}"
"31510700","{""Copy number aberration"",""Copy number aberration\""]"",""[\""Gene expression"",""Gene expression\""]"",""[\""Somatic mutation"",""Somatic mutation""}"
"31513271","{[],""[\""Imaging\""]""}"
"31519923","{""[\""MRI\""]"",MRI}"
"31542646","{""[\""Image Data\""]"",""[\""MRI\""]""}"
"31546048","{""[\""MRI\""]"",""[\""T1-weighted MRIs\""]""}"
"31667829","{""[\""Clinical\""]"",""[{\""text\"": true}, {\""image\"": null}]""}"
"31732979","{""[\""genetic markers"",""plasma concentrations\""]""}"
"31821482","{""[\""prothrombin time international normalized ratio measurements\""]"",""[\""Serial PT-INR values\""]""}"
"31978179","{""Diffusion and Perfusion\""]"",""[\""MRI""}"
"31999324","{""Behavioral questionnaire\""]"",""[\""Functional brain measurements\""]"",""[\""Functional MRI""}"
"32025015","{[]}"
"32161279","{[],""[{\""modality\"": \""Image\""}, {\""modality\"": \""Text\""}]""}"
"32178532","{""Administrative\""]"",""[\""Clinical"",Clinical}"
"32187319","{""[\""Text\""]""}"
"32287265","{""[\""blood"",""microarray\""]"",""[\""mRNA"",""muscle\""]""}"
"32399621","{""[\""PET/CT\""]""}"
"32433583","{""[\""3T"",""FLAIR\""]"",""[\""Image"",""Survey\""]""}"
"32467650","{""[\""France\""]"",""[\""Pathology\""]""}"
"32463180","{""Image\""]"",[null],""[\""Text""}"
"32563597","{""[\""text\""]""}"
"32571444","{""{\""image\"": [\""Centre for Human Brain Health, School of Psychology\""], \""video\"": null}""}"
"32580207","{""[\""image\""]"",""[\""Imaging\""]""}"
"32601678","{""[\""upper limb motor recovery\""]"",""[\""Upper limb motor recovery\""]""}"
"32635216","{""CT\""]"",""[\""PET"",""[\""PET/CT\""]""}"
"32710834","{""[{\""ForeName\"": \""Jaewoo"",""Initials\"": \""J"",""Initials\"": \""Y"",""LastName\"": \""Guan\""}]"",""LastName\"": \""Kang\""}, {\""ForeName\"": \""Yuanfang""}"
"32719123","{}"
"32732917","{""brain imaging\""]"",""[\""Image"",""Text\""]"",""[\""transcriptome""}"
"32732967","{""communication\""]"",""Observation Schedule\""]"",""[\""Questionnaire"",""[\""social""}"
"32758450","{}"
"32767763","{""Digital technologies\""]"",Electroencephalography,""[\""Imaging"",""[{\""modality_name\"": \""EEG"",Pathology,""used_in_paper\"": true}]"",""used_in_paper\"": true}, {\""modality_name\"": \""MRI""}"
"32843633","{""Brain scans\""]"",""[\""images"",""[\""Images"",""text\""]""}"
"32927257","{""[\""3-D\""]"",""[\""Computed Tomography"",""Magnetic Resonance Imaging\""]""}"
"32992069","{""[\""Language"",""[\""speech\""]"",""Spontaneous monologues\""]""}"
"33033241","{""[{\""count\"": 2, \""modality\"": \""image\""}, {\""count\"": 3, \""modality\"": \""text\""}]"",""[\""Structural neuroimaging\""]""}"
"33064342","{}"
"33075658","{""CT\""]"",""[\""PET""}"
"33167779","{""Cardiovascular\""]"",""[\""electrocardiogram\""]"",""[\""Electrocardiogram""}"
"33207776","{""[\""Questionnaires\""]"",""[\""Text\""]""}"
"33289695","{[],""{\""Text\"": true}""}"
"33420416","{""[{\""modality\"": \""Images\""}, {\""modality\"": \""Text\""}]""}"
"33441847","{""{\""Text\"": true, \""Audio\"": false, \""Image\"": false}""}"
"33472890","{""{\""Text\"": null, \""Audio\"": null, \""Image\"": null}""}"
"33480187","{""Imaging\""]}]"",""[\""Neuroimaging\""]"",""[{\""Voxels in the brain.\"": [\""MRI""}"
"33617523","{""[\""image\""]"",""[\""Three-Dimensional (3D) image data\""]""}"
"33634751","{""[{\""count\"": 2, \""value\"": \""Image\""}, {\""count\"": 1, \""value\"": \""Text\""}, {\""count\"": 0, \""value\"": \""Audio\""}, {\""count\"": 0, \""value\"": \""Video\""}]""}"
"33650265","{Imaging,""Reproducive Health\""]"",""[\""Urology""}"
"33726819","{""Image\""]"",""[\""Text""}"
"33753312","{[]}"
