"pid","modalities","modalities2","x"
"28952798","{Medical}","{Blood,Pressure,Systolic,BP,Diastolic,BP}","{Blood,BP,Diastolic,Medical,Pressure,Systolic}"
"28968847","{MRI}","{MRI}","{MRI}"
"28981875","{Nil}","{Text,Audio}","{Audio,Nil,Text}"
"29194610","{dental-related,claims}","{topical,fluoride,dental,sealants}","{claims,dental,dental-related,fluoride,sealants,topical}"
"29251172","{Gene,expression,profile}","{gene,expression}","{expression,gene,Gene,profile}"
"29254878","{Self-report,Likert,scale}","{self-report}","{Likert,scale,self-report,Self-report}"
"29268169","{MICCAI}","{X-ray,Computed,Tomography}","{Computed,MICCAI,Tomography,X-ray}"
"29272464","{Structural,magnetic,resonance,imaging,scans,(MRI)}","{MRI,scans}","{imaging,magnetic,(MRI),MRI,resonance,scans,Structural}"
"29288983","{T2-weighted,T1-weighted,T2*,weighted,Diffusion-weighted}","{MRI}","{Diffusion-weighted,MRI,T1-weighted,T2*,T2-weighted,weighted}"
"29306928","{Genetic,data}",NULL,"{data,Genetic}"
"29340580","{Blood,Samples}","{Hematological}","{Blood,Hematological,Samples}"
"29356281","{Physiological}","{Energy,Mood}","{Energy,Mood,Physiological}"
"29377156","{prostate,cancer,treatment,radiation,therapy}","{radiation,therapy,computed,tomography}","{cancer,computed,prostate,radiation,therapy,tomography,treatment}"
"29398207","{Functional,magnetic,resonance,imaging}","{functional,MRI}","{functional,Functional,imaging,magnetic,MRI,resonance}"
"29539639","{DNA,methylation}","{text,image,audio}","{audio,DNA,image,methylation,text}"
"29540617",NULL,"{Modality:,Kinesthetic,feedback,Modality:,Vision,Modality:,Intent}","{feedback,Intent,Kinesthetic,Modality:,Vision}"
"29548746","{Gene,expression}","{gene,expression,brain,transcriptional,profile}","{brain,expression,gene,Gene,profile,transcriptional}"
"29550305","{Medical,Imaging}","{image,text}","{image,Imaging,Medical,text}"
"29558208","{knee,kinematics,tibial,internal,rotation}","{robotic,testing,system,6,degrees,of,freedom}","{6,degrees,freedom,internal,kinematics,knee,of,robotic,rotation,system,testing,tibial}"
"29581092","{Typing}","{typing}","{typing,Typing}"
"29603092","{CSF,miRNA}","{MicroRNA,expression,levels,Cerebrospinal,fluid}","{Cerebrospinal,CSF,expression,fluid,levels,MicroRNA,miRNA}"
"29662628","{gene,expression}","{gene,expression}","{expression,gene}"
"29688388","{MRI,Functional,connectivity}","{Grey,Matter,Volume,Whole-Brain,Resting,State,Functional,Connectivity}","{connectivity,Connectivity,Functional,Grey,Matter,MRI,Resting,State,Volume,Whole-Brain}"
"29693792","{Proteomics}","{Description:,text,data,Description:,image,data,Description:,audio,data}","{audio,data,Description:,image,Proteomics,text}"
"29708944","{Functional,Connectivity}","{brain,imaging}","{brain,Connectivity,Functional,imaging}"
"29753765","{Imaging,Cardiology}","{CT,MRI}","{Cardiology,CT,Imaging,MRI}"
"29766558","{Text,Numerical}","{Text}","{Numerical,Text}"
"29779671","{Functional,magnetic,resonance,imaging,(fMRI)}","{Psychological,Data}","{Data,(fMRI),Functional,imaging,magnetic,Psychological,resonance}"
"29844507","{Macrostructural,MRI,Microstructural,diffusion,tensor,imaging,(DTI)}","{Modality:,Brain,MRI,Modality:,Diffusion,tensor,imaging,(DTI)}","{Brain,diffusion,Diffusion,(DTI),imaging,Macrostructural,Microstructural,Modality:,MRI,tensor}"
"29886760","{Medical}","{None}","{Medical,None}"
