"pid","x","modalities","modalities2"
"28350526",NULL,NULL,NULL
"28601499","[""fMRI""], [""fMRI""]","[""fMRI""]","[""fMRI""]"
"28651909","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""], [""cognitive tests""]","[""Computerized Cambridge Neurocognitive Test Automated Battery"", ""Short version of the Wechsler Adult Intelligence Scale-Revised in China"", ""Immediate and delayed logical memory of the Wechsler Memory Scale-Revised in China""]","[""cognitive tests""]"
"28673115",NULL,"[""Nil""]",NULL
"28696831","[""Haptics"", ""Robot""], [""touch sensations""]","[""Haptics"", ""Robot""]","[""touch sensations""]"
"28756487","[""anatomical"", ""functional""], [""voice-sensitive cortex"", ""functional voice activity""]","[""anatomical"", ""functional""]","[""voice-sensitive cortex"", ""functional voice activity""]"
"28771699","[""Checkerboard DNA-DNA hybridisation""], [""DNA-DNA hybridisation""]","[""Checkerboard DNA-DNA hybridisation""]","[""DNA-DNA hybridisation""]"
"28853237","[""Optical Coherence Tomography""], [""optical coherence tomography""]","[""Optical Coherence Tomography""]","[""optical coherence tomography""]"
"28869436","[""Lower Limbs Rehabilitation Robot""], [""Robot"", ""Device""]","[""Lower Limbs Rehabilitation Robot""]","[""Robot"", ""Device""]"
"28952798","[""Medical""], [""Blood Pressure"", ""Systolic BP"", ""Diastolic BP""]","[""Medical""]","[""Blood Pressure"", ""Systolic BP"", ""Diastolic BP""]"
"28968847","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"28981875","[""Nil""], [""Text"", ""Audio""]","[""Nil""]","[""Text"", ""Audio""]"
"28987903","[""MR""], [""Cardiac Images (MR sequences)""]","[""MR""]","[""Cardiac Images (MR sequences)""]"
"29043544","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""], [""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""]","[""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]"
"29065782","[""Clinical""], [""Surgery"", ""Medicine""]","[""Clinical""]","[""Surgery"", ""Medicine""]"
"29071211","[""Myelin"", ""T1-weighted MRI""], [""Myelin Maps"", ""T1-weighted MRI""]","[""Myelin"", ""T1-weighted MRI""]","[""Myelin Maps"", ""T1-weighted MRI""]"
"29084099","[""Sensorimotor"", ""Visuospatial attention"", ""Working Memory"", ""Executive Function""], [""Robotics"", ""Sensorimotor""]","[""Sensorimotor"", ""Visuospatial attention"", ""Working Memory"", ""Executive Function""]","[""Robotics"", ""Sensorimotor""]"
"29094375","[""Electronic medical data""], [""Sparse indicator covariates""]","[""Electronic medical data""]","[""Sparse indicator covariates""]"
"29098645","[""Cognitive features""], [""Cognitive features""]","[""Cognitive features""]","[""Cognitive features""]"
"29128490","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"29145629",NULL,NULL,"[""text"", ""image""]"
"29169029","[""Electron Microscopy"", ""CT"", ""MRI""], [""Electron Microscopy"", ""CT images"", ""MRI""]","[""Electron Microscopy"", ""CT"", ""MRI""]","[""Electron Microscopy"", ""CT images"", ""MRI""]"
"29193460","[""Imaging"", ""Robotics""], [""diffusion_tensor_imaging"", ""robotic""]","[""Imaging"", ""Robotics""]","[""diffusion_tensor_imaging"", ""robotic""]"
"29194610","[""dental-related claims""], [""topical fluoride"", ""dental sealants""]","[""dental-related claims""]","[""topical fluoride"", ""dental sealants""]"
"29237237",NULL,NULL,NULL
"29244902","[""Electronic portal imaging device (EPID)"", ""Tumor position""], [""Electronic Portal Imaging Device""]","[""Electronic portal imaging device (EPID)"", ""Tumor position""]","[""Electronic Portal Imaging Device""]"
"29251172","[""Gene expression profile""], [""gene expression""]","[""Gene expression profile""]","[""gene expression""]"
"29254878","[""Self-report"", ""Likert scale""], [""self-report""]","[""Self-report"", ""Likert scale""]","[""self-report""]"
"29268169","[""MICCAI""], [""X-ray"", ""Computed Tomography""]","[""MICCAI""]","[""X-ray"", ""Computed Tomography""]"
"29272464","[""Structural magnetic resonance imaging scans (MRI)""], [""MRI scans""]","[""Structural magnetic resonance imaging scans (MRI)""]","[""MRI scans""]"
"29274736","[""Tissue Density Estimates"", ""Cortical Thickness""], [""magnetic resonance images""]","[""Tissue Density Estimates"", ""Cortical Thickness""]","[""magnetic resonance images""]"
"29288983","[""T2-weighted"", ""T1-weighted"", ""T2* weighted"", ""Diffusion-weighted""], [""MRI""]","[""T2-weighted"", ""T1-weighted"", ""T2* weighted"", ""Diffusion-weighted""]","[""MRI""]"
"29294157","[""Computed Tomography""], [""CT scans""]","[""Computed Tomography""]","[""CT scans""]"
"29300432",NULL,"[""Bedside clinical assessment""]",NULL
"29304138","[""Histopathological images"", ""Ki67 scores""], [""image"", ""pathology""]","[""Histopathological images"", ""Ki67 scores""]","[""image"", ""pathology""]"
"29306928",NULL,"[""Genetic data""]",NULL
"29321174",NULL,NULL,"[""text""]"
"29321970","[""EEG"", ""fMRI""], [""EEG"", ""fMRI""]","[""EEG"", ""fMRI""]","[""EEG"", ""fMRI""]"
"29334038","[""MRI""], [""MRI"", ""Neuronavigation""]","[""MRI""]","[""MRI"", ""Neuronavigation""]"
"29334467",NULL,"[""Robotics"", ""Upper Extremity""]",NULL
"29335008","[""16S"", ""Shotgun metagenomics""], [""16S rRNA gene"", ""shotgun metagenomics""]","[""16S"", ""Shotgun metagenomics""]","[""16S rRNA gene"", ""shotgun metagenomics""]"
"29336922","[""PET""], [""Images""]","[""PET""]","[""Images""]"
"29340580","[""Blood Samples""], [""Hematological""]","[""Blood Samples""]","[""Hematological""]"
"29344313","[""Genomic Data""], [""DNA methylation""]","[""Genomic Data""]","[""DNA methylation""]"
"29346286",NULL,NULL,"[]"
"29354080","[""Audio"", ""Physiological""], [""audio"", ""physiological""]","[""Audio"", ""Physiological""]","[""audio"", ""physiological""]"
"29355792","[""Biomechanical"", ""Robotic""], [""force"", ""movement""]","[""Biomechanical"", ""Robotic""]","[""force"", ""movement""]"
"29356281","[""Physiological""], [""Energy"", ""Mood""]","[""Physiological""]","[""Energy"", ""Mood""]"
"29356346","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""], [""Audiogram"", ""Hearing level""]","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""]","[""Audiogram"", ""Hearing level""]"
"29377156","[""prostate cancer treatment"", ""radiation therapy""], [""radiation therapy"", ""computed tomography""]","[""prostate cancer treatment"", ""radiation therapy""]","[""radiation therapy"", ""computed tomography""]"
"29378522","[""EEG""], [""Electroencephalography""]","[""EEG""]","[""Electroencephalography""]"
"29380275","[""Psychiatric""], [""Text""]","[""Psychiatric""]","[""Text""]"
"29391513",NULL,"[""Medical Records""]",NULL
"29398207","[""Functional magnetic resonance imaging""], [""functional MRI""]","[""Functional magnetic resonance imaging""]","[""functional MRI""]"
"29407288",NULL,NULL,"[""Genome-wide data"", ""Self-reporting""]"
"29450848","[""MRI""], [""T1/T2-weighted MRI scans""]","[""MRI""]","[""T1/T2-weighted MRI scans""]"
"29454222","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""], [""structural MRI"", ""fasting lipids"", ""body mass index""]","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""]","[""structural MRI"", ""fasting lipids"", ""body mass index""]"
"29502031","[""FDG-PET""], [""FDG-PET metabolism imaging""]","[""FDG-PET""]","[""FDG-PET metabolism imaging""]"
"29539639","[""DNA methylation""], [""text"", ""image"", ""audio""]","[""DNA methylation""]","[""text"", ""image"", ""audio""]"
"29540617",NULL,NULL,"[{""Modality"": ""Kinesthetic feedback""}, {""Modality"": ""Vision""}, {""Modality"": ""Intent""}]"
"29543895","[""Registry data""], [""software tool"", ""model""]","[""Registry data""]","[""software tool"", ""model""]"
"29546805","[""Image""], [""image""]","[""Image""]","[""image""]"
"29548746","[""Gene expression""], [""gene expression"", ""brain transcriptional profile""]","[""Gene expression""]","[""gene expression"", ""brain transcriptional profile""]"
"29550305","[""Medical Imaging""], [""image"", ""text""]","[""Medical Imaging""]","[""image"", ""text""]"
"29558208","[""knee kinematics"", ""tibial internal rotation""], [""robotic testing system"", ""6 degrees of freedom""]","[""knee kinematics"", ""tibial internal rotation""]","[""robotic testing system"", ""6 degrees of freedom""]"
"29571749","[""Actigraphy""], [""actigraphy""]","[""Actigraphy""]","[""actigraphy""]"
"29581092","[""Typing""], [""typing""]","[""Typing""]","[""typing""]"
"29603092","[""CSF"", ""miRNA""], [""MicroRNA expression levels"", ""Cerebrospinal fluid""]","[""CSF"", ""miRNA""]","[""MicroRNA expression levels"", ""Cerebrospinal fluid""]"
"29606521",NULL,NULL,NULL
"29609039","[""MRI""], [""Brain MRI Images""]","[""MRI""]","[""Brain MRI Images""]"
"29616521","[""Near-infrared spectrometer""], [""Cerebral oxygenation"", ""Neurological function""]","[""Near-infrared spectrometer""]","[""Cerebral oxygenation"", ""Neurological function""]"
"29632364","[""MR"", ""PET""], [""structural MR"", ""FDG-PET images""]","[""MR"", ""PET""]","[""structural MR"", ""FDG-PET images""]"
"29636016","[""Diffusion Tensor Imaging""], [""MRI""]","[""Diffusion Tensor Imaging""]","[""MRI""]"
"29642656",NULL,NULL,NULL
"29662628","[""gene expression""], [""gene expression""]","[""gene expression""]","[""gene expression""]"
"29664902","[""Structural"", ""Functional""], [""Structural MRI"", ""Functional MRI""]","[""Structural"", ""Functional""]","[""Structural MRI"", ""Functional MRI""]"
