"pid","countries","x","modalities","modalities2"
"28756487","[""Canada"", ""France"", ""United Kingdom""]","[""anatomical"", ""functional""], [""voice-sensitive cortex"", ""functional voice activity""]","[""anatomical"", ""functional""]","[""voice-sensitive cortex"", ""functional voice activity""]"
"29043544","[""Canada"", ""Poland"", ""United Kingdom""]","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""], [""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]","[""Transcranial Doppler (TCD)"", ""Intracranial pressure (ICP)"", ""Cortical laser Doppler flowmetry (LDF)""]","[""Transcranial Doppler"", ""Intracranial pressure"", ""Cortical laser Doppler flowmetry""]"
"29274736","[""Canada"", ""Mexico"", ""United Kingdom""]","[""Tissue Density Estimates"", ""Cortical Thickness""], [""magnetic resonance images""]","[""Tissue Density Estimates"", ""Cortical Thickness""]","[""magnetic resonance images""]"
"29335008","[""Australia"", ""Canada"", ""United Kingdom""]","[""16S"", ""Shotgun metagenomics""], [""16S rRNA gene"", ""shotgun metagenomics""]","[""16S"", ""Shotgun metagenomics""]","[""16S rRNA gene"", ""shotgun metagenomics""]"
"29340580","[""Canada"", ""Denmark"", ""Russia"", ""South Korea"", ""United Kingdom"", ""United States""]","[""Blood Samples""], [""Hematological""]","[""Blood Samples""]","[""Hematological""]"
"29398207","[""Canada"", ""United Kingdom"", ""United States""]","[""Functional magnetic resonance imaging""], [""functional MRI""]","[""Functional magnetic resonance imaging""]","[""functional MRI""]"
"29539639","[""Australia"", ""Austria"", ""Canada"", ""Denmark"", ""France"", ""Germany"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Norway"", ""Russia"", ""Switzerland"", ""United Kingdom"", ""United States""]","[""DNA methylation""], [""text"", ""image"", ""audio""]","[""DNA methylation""]","[""text"", ""image"", ""audio""]"
"29747532","[""Belgium"", ""Canada"", ""Netherlands"", ""United Kingdom""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"29889330","[""Austria"", ""Canada"", ""France"", ""Germany"", ""Ireland"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""fMRI"", ""EEG""]"
"30025851","[""Canada"", ""China"", ""Czechia"", ""Finland"", ""France"", ""Germany"", ""Italy"", ""Romania"", ""Spain"", ""United Kingdom""]",NULL,"[""Neuroscience""]",NULL
"30091677","[""Canada"", ""Poland"", ""United Kingdom""]","[""ICP"", ""TCD""], [""transcranial Doppler"", ""intracranial pressure""]","[""ICP"", ""TCD""]","[""transcranial Doppler"", ""intracranial pressure""]"
"30104567","[""Austria"", ""Canada"", ""China"", ""Czechia"", ""Denmark"", ""France"", ""Germany"", ""Greece"", ""Israel"", ""Italy"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Poland"", ""Romania"", ""Serbia"", ""Singapore"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""text"", ""image""]"
"30155789","[""Canada"", ""France"", ""Germany"", ""Netherlands"", ""Spain"", ""Switzerland"", ""United Kingdom""]","[""Imaging""], [""Imaging""]","[""Imaging""]","[""Imaging""]"
"30171211","[""Australia"", ""Brazil"", ""Canada"", ""Colombia"", ""France"", ""Germany"", ""Ireland"", ""Mexico"", ""Netherlands"", ""Norway"", ""South Africa"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,"[""structural MRI""]",NULL
"30229903","[""Canada"", ""Germany"", ""Ireland"", ""Israel"", ""Italy"", ""Spain"", ""Sweden"", ""United Kingdom""]",NULL,NULL,"[]"
"30267208","[""Canada"", ""Poland"", ""United Kingdom""]","[""Doppler""], [""electrophysiological data"", ""pressure measurements""]","[""Doppler""]","[""electrophysiological data"", ""pressure measurements""]"
"30300751","[""Canada"", ""China"", ""France"", ""Italy"", ""Japan"", ""Sweden"", ""United Kingdom"", ""United States""]","[""MRI""], [{""MRI"": ""Yes""}, {""CT"": ""No""}]","[""MRI""]","[{""MRI"": ""Yes""}, {""CT"": ""No""}]"
"30644411","[""Canada"", ""Russia"", ""United Kingdom"", ""United States""]","[""Blood Biochemistry"", ""Cell Count""], [{""Modality"": ""Blood_Biochemistry"", ""Description"": null}]","[""Blood Biochemistry"", ""Cell Count""]","[{""Modality"": ""Blood_Biochemistry"", ""Description"": null}]"
"30782022","[""Canada"", ""Cyprus"", ""Spain"", ""United Kingdom""]","[""Voxel-based morphometry""], [""VBM""]","[""Voxel-based morphometry""]","[""VBM""]"
"30807586","[""Canada"", ""United Kingdom""]","[""Clinical"", ""Imaging""], [""Image"", ""Text""]","[""Clinical"", ""Imaging""]","[""Image"", ""Text""]"
"31138084","[""Canada"", ""Ireland"", ""Turkey"", ""United Kingdom"", ""United States""]","[""MRI"", ""CT""], [""physiological data"", ""questionnaire data""]","[""MRI"", ""CT""]","[""physiological data"", ""questionnaire data""]"
"31153115","[""Canada"", ""United Kingdom""]","[""CT"", ""Mechanical loading""], [""6 degree-of-freedom hexapod robot"", ""carbon fiber struts""]","[""CT"", ""Mechanical loading""]","[""6 degree-of-freedom hexapod robot"", ""carbon fiber struts""]"
"31161221","[""Canada"", ""United Kingdom"", ""United States""]","[""Urine miRNA fingerprint""], [""text""]","[""Urine miRNA fingerprint""]","[""text""]"
"31173905","[""Canada"", ""France"", ""Germany"", ""Ireland"", ""United Kingdom"", ""United States""]","[""MRI""], [{""modality"": ""MRI""}]","[""MRI""]","[{""modality"": ""MRI""}]"
"31216543","[""Canada"", ""Germany"", ""United Kingdom""]","[""Computed Tomography""], [""Computed Tomography Angiography""]","[""Computed Tomography""]","[""Computed Tomography Angiography""]"
"31226518","[""Canada"", ""United Kingdom""]","[""Ultrasound""], [""Ultrasound Strain Elastography""]","[""Ultrasound""]","[""Ultrasound Strain Elastography""]"
"31417602","[""Argentina"", ""Australia"", ""Belgium"", ""Canada"", ""Czechia"", ""France"", ""Germany"", ""Italy"", ""Netherlands"", ""Saudi Arabia"", ""South Africa"", ""Turkey"", ""United Kingdom"", ""United States""]","[], [""Imaging"", ""Genomics""]","[]","[""Imaging"", ""Genomics""]"
"31447230","[""Canada"", ""Mexico"", ""United Kingdom"", ""United States""]","[""Imaging"", ""Pathology""], [""digital imaging""]","[""Imaging"", ""Pathology""]","[""digital imaging""]"
"31479590","[""Australia"", ""Canada"", ""Germany"", ""United Kingdom"", ""United States""]","[""Text""], [""text""]","[""Text""]","[""text""]"
"31534203","[""Australia"", ""Belgium"", ""Canada"", ""France"", ""Italy"", ""Netherlands"", ""Turkey"", ""United Kingdom"", ""United States""]","[""Pathology""], []","[""Pathology""]","[]"
"31656049","[""Canada"", ""Switzerland"", ""United Kingdom""]","[""Self-reported"", ""Biomarkers""], [""textual""]","[""Self-reported"", ""Biomarkers""]","[""textual""]"
"31691273","[""Canada"", ""United Kingdom""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"31772171","[""Canada"", ""United Kingdom""]","[""Cortical thickness""], [""cortical thickness data"", ""core-domain phenotypic features""]","[""Cortical thickness""]","[""cortical thickness data"", ""core-domain phenotypic features""]"
"31821482","[""Canada"", ""France"", ""Germany"", ""Japan"", ""Netherlands"", ""Turkey"", ""Ukraine"", ""United Kingdom"", ""United States""]","[""Serial PT-INR values""], [""prothrombin time international normalized ratio measurements""]","[""Serial PT-INR values""]","[""prothrombin time international normalized ratio measurements""]"
"31845024","[""Canada"", ""United Kingdom""]",NULL,NULL,NULL
"31871069","[""Australia"", ""Canada"", ""France"", ""Netherlands"", ""Spain"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""Image data"", ""Clinical data""]"
"31899530","[""Canada"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""Text data"", ""Image data""]"
"31915534","[""Canada"", ""United Kingdom""]","[""Quantitative ultrasound"", ""Radiomic""], [""Ultrasound""]","[""Quantitative ultrasound"", ""Radiomic""]","[""Ultrasound""]"
"31932608","[""Canada"", ""Italy"", ""Luxembourg"", ""United Kingdom""]","[""ECG""], [""ECG""]","[""ECG""]","[""ECG""]"
"31982495","[""Canada"", ""United Kingdom"", ""United States""]","[""thermograms""], [""thermal imaging""]","[""thermograms""]","[""thermal imaging""]"
"32024819","[""Canada"", ""United Kingdom"", ""United States""]","[""genomics""], genomics, genetics","[""genomics""]","genomics, genetics"
"32025015","[""Canada"", ""Denmark"", ""Estonia"", ""Germany"", ""Japan"", ""Poland"", ""Spain"", ""Sweden"", ""Switzerland"", ""United Kingdom"", ""United States""]",NULL,NULL,"[]"
"32072271","[""Canada"", ""Netherlands"", ""Switzerland"", ""United Kingdom""]",NULL,"[""Functional testing""]",NULL
"32110753","[""Canada"", ""Israel"", ""United Kingdom"", ""United States""]","[""Medical""], {""variables_used"": [{""modality"": ""medical"", ""variables"": 68}, {""modality"": ""demographics"", ""variables"": null}]}","[""Medical""]","{""variables_used"": [{""modality"": ""medical"", ""variables"": 68}, {""modality"": ""demographics"", ""variables"": null}]}"
"32153047","[""Canada"", ""Ireland"", ""United Kingdom""]","[""DNA methylation"", ""cf-RNA expression""], [""DNA Methylation"", ""Cell-Free RNA""]","[""DNA methylation"", ""cf-RNA expression""]","[""DNA Methylation"", ""Cell-Free RNA""]"
"32165206","[""Australia"", ""Austria"", ""Belgium"", ""Canada"", ""France"", ""Japan"", ""United Kingdom"", ""United States""]","[""Molecular"", ""Pathologic""], [""Image"", ""Text""]","[""Molecular"", ""Pathologic""]","[""Image"", ""Text""]"
"32187319","[""Australia"", ""Belgium"", ""Brazil"", ""Canada"", ""Germany"", ""Israel"", ""Portugal"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""Text""]"
"32287265","[""Canada"", ""Germany"", ""United Kingdom"", ""United States""]","[""mRNA"", ""microarray""], [""blood"", ""muscle""]","[""mRNA"", ""microarray""]","[""blood"", ""muscle""]"
"32303098","[""Australia"", ""Canada"", ""United Kingdom"", ""United States""]",NULL,"[""Health data""]",NULL
"32328990","[""Canada"", ""France"", ""Netherlands"", ""South Korea"", ""United Kingdom"", ""United States""]",NULL,NULL,NULL
"32329723","[""Australia"", ""Canada"", ""China"", ""Finland"", ""Hong Kong"", ""Netherlands"", ""New Zealand"", ""Singapore"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,NULL
"32366785","[""Canada"", ""France"", ""United Kingdom"", ""United States""]","[""Amyloid PET"", ""FDG PET""], [""PET""]","[""Amyloid PET"", ""FDG PET""]","[""PET""]"
"32388549","[""Canada"", ""United Kingdom"", ""United States""]","[""text""], [""text""]","[""text""]","[""text""]"
"32424317","[""Canada"", ""China"", ""Singapore"", ""United Kingdom""]","[""structural and functional network profiling"", ""biophysical simulations""], [""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]"
"32467650","[""Belgium"", ""Canada"", ""France"", ""Germany"", ""Honduras"", ""Kuwait"", ""Nigeria"", ""Pakistan"", ""Spain"", ""Turkey"", ""United Kingdom"", ""United States""]","[""France""], [""Pathology""]","[""France""]","[""Pathology""]"
"32462314","[""Canada"", ""United Kingdom""]","[""Chest X-ray scans""], [""radiographs""]","[""Chest X-ray scans""]","[""radiographs""]"
"32463180","[""Australia"", ""Austria"", ""Belgium"", ""Canada"", ""France"", ""Georgia"", ""Germany"", ""Spain"", ""United Kingdom"", ""United States""]","[null], [""Text"", ""Image""]","[null]","[""Text"", ""Image""]"
"32500070","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom""]","[""ECG""], [""ECG"", ""electrophysiology""]","[""ECG""]","[""ECG"", ""electrophysiology""]"
