Modality,Count
imag,284
text,189
data,96
mri,87
clinic,81
medic,59
ct,56
modal,47
tomographi,46
magnet,42
comput,41
reson,41
null,41
and,37
health,29
record,29
function,28
genom,28
electron,26
blood,25
scan,25
audio,23
brain,22
fmri,21
video,20
ultrasound,19
eeg,19
structur,16
measur,16
express,15
sequenc,15
patholog,15
xray,13
t1weight,13
demograph,13
ecg,13
gene,12
diffus,12
mr,12
neuroimag,12
genet,11
of,11
numer,11
signal,11
true,11
angiographi,11
pet,11
cardiovascular,11
learn,11





MRI,87
CT scans,56
Genomics,33
fMRI,21
Ultrasound,19
EEG,19


